,model,balanced_score,n_samples,trial_num,win_rate,scenario
20,openai_curie,0.5515039669865898,30000,1,0.3333333333333333,natural_qa:mode=openbook
21,openai_davinci,0.6245969015358851,30000,1,0.75,natural_qa:mode=openbook
22,openai_text-ada-001,0.1488303775311014,30000,1,0.0,natural_qa:mode=openbook
23,openai_text-babbage-001,0.3295677125025385,30000,1,0.1111111111111111,natural_qa:mode=openbook
24,openai_text-curie-001,0.5713593297545251,30000,1,0.4444444444444444,natural_qa:mode=openbook
25,openai_text-davinci-002,0.7131585271286977,30000,1,0.9166666666666666,natural_qa:mode=openbook
26,openai_text-davinci-003,0.7702290061206398,30000,1,1.0,natural_qa:mode=openbook
27,together_bloom,0.6213206043276372,30000,1,0.6944444444444444,natural_qa:mode=openbook
28,together_glm,0.6424303381577149,30000,1,0.8333333333333334,natural_qa:mode=openbook
29,together_gpt-j-6b,0.5589065746807945,30000,1,0.3611111111111111,natural_qa:mode=openbook
30,together_gpt-neox-20b,0.5960813295706041,30000,1,0.6111111111111112,natural_qa:mode=openbook
31,together_opt-175b,0.6148767153993117,30000,1,0.6666666666666666,natural_qa:mode=openbook
32,together_opt-66b,0.5959786340023702,30000,1,0.5833333333333334,natural_qa:mode=openbook
33,together_t0pp,0.1897136950280302,30000,1,0.027777777777777776,natural_qa:mode=openbook
34,together_t5-11b,0.4773210844438499,30000,1,0.2222222222222222,natural_qa:mode=openbook
35,together_ul2,0.3492160309722792,30000,1,0.1388888888888889,natural_qa:mode=openbook
36,together_yalm,0.2265558450613026,30000,1,0.05555555555555555,natural_qa:mode=openbook
0,AlephAlpha_luminous-base,0.5682901926061223,30000,2,0.4166666666666667,natural_qa:mode=openbook
1,AlephAlpha_luminous-extended,0.6088545938518366,30000,2,0.6388888888888888,natural_qa:mode=openbook
2,AlephAlpha_luminous-supreme,0.6485668687165842,30000,2,0.8611111111111112,natural_qa:mode=openbook
3,ai21_j1-grande,0.5778338165916532,30000,2,0.5,natural_qa:mode=openbook
4,ai21_j1-grande-v2-beta,0.6245416926486144,30000,2,0.7222222222222222,natural_qa:mode=openbook
5,ai21_j1-jumbo,0.5952126219349454,30000,2,0.5555555555555556,natural_qa:mode=openbook
6,ai21_j1-large,0.5321738626871021,30000,2,0.3055555555555556,natural_qa:mode=openbook
7,anthropic_stanford-online-all-v4-s3,0.6863918123779374,30000,2,0.8888888888888888,natural_qa:mode=openbook
8,cohere_command-medium-beta,0.7174919222528221,30000,2,0.9444444444444444,natural_qa:mode=openbook
9,cohere_command-xlarge-beta,0.7599222726809983,30000,2,0.9722222222222222,natural_qa:mode=openbook
10,cohere_large-20220720,0.5732587473328845,30000,2,0.4722222222222222,natural_qa:mode=openbook
11,cohere_medium-20220720,0.5040781943652257,30000,2,0.25,natural_qa:mode=openbook
12,cohere_medium-20221108,0.5169831729768285,30000,2,0.2777777777777778,natural_qa:mode=openbook
13,cohere_small-20220720,0.3094735012345826,30000,2,0.08333333333333333,natural_qa:mode=openbook
14,cohere_xlarge-20220609,0.5951499201979565,30000,2,0.5277777777777778,natural_qa:mode=openbook
15,cohere_xlarge-20221108,0.6284877270198667,30000,2,0.7777777777777778,natural_qa:mode=openbook
16,microsoft_TNLGv2_530B,0.6421426198542494,30000,2,0.8055555555555556,natural_qa:mode=openbook
17,microsoft_TNLGv2_7B,0.5610321289166954,30000,2,0.3888888888888889,natural_qa:mode=openbook
18,openai_ada,0.3651114721289236,30000,2,0.16666666666666666,natural_qa:mode=openbook
19,openai_babbage,0.4512840216524929,30000,2,0.19444444444444445,natural_qa:mode=openbook
20,openai_curie,0.5515039669865898,30000,2,0.3333333333333333,natural_qa:mode=openbook
21,openai_davinci,0.6245969015358851,30000,2,0.75,natural_qa:mode=openbook
22,openai_text-ada-001,0.1488303775311014,30000,2,0.0,natural_qa:mode=openbook
23,openai_text-babbage-001,0.3295677125025385,30000,2,0.1111111111111111,natural_qa:mode=openbook
24,openai_text-curie-001,0.5713593297545251,30000,2,0.4444444444444444,natural_qa:mode=openbook
25,openai_text-davinci-002,0.7131585271286977,30000,2,0.9166666666666666,natural_qa:mode=openbook
26,openai_text-davinci-003,0.7702290061206398,30000,2,1.0,natural_qa:mode=openbook
27,together_bloom,0.6213206043276372,30000,2,0.6944444444444444,natural_qa:mode=openbook
28,together_glm,0.6424303381577149,30000,2,0.8333333333333334,natural_qa:mode=openbook
29,together_gpt-j-6b,0.5589065746807945,30000,2,0.3611111111111111,natural_qa:mode=openbook
30,together_gpt-neox-20b,0.5960813295706041,30000,2,0.6111111111111112,natural_qa:mode=openbook
31,together_opt-175b,0.6148767153993117,30000,2,0.6666666666666666,natural_qa:mode=openbook
32,together_opt-66b,0.5959786340023702,30000,2,0.5833333333333334,natural_qa:mode=openbook
33,together_t0pp,0.1897136950280302,30000,2,0.027777777777777776,natural_qa:mode=openbook
34,together_t5-11b,0.4773210844438499,30000,2,0.2222222222222222,natural_qa:mode=openbook
35,together_ul2,0.3492160309722792,30000,2,0.1388888888888889,natural_qa:mode=openbook
36,together_yalm,0.2265558450613026,30000,2,0.05555555555555555,natural_qa:mode=openbook
0,AlephAlpha_luminous-base,0.5682901926061223,30000,3,0.4166666666666667,natural_qa:mode=openbook
1,AlephAlpha_luminous-extended,0.6088545938518366,30000,3,0.6388888888888888,natural_qa:mode=openbook
2,AlephAlpha_luminous-supreme,0.6485668687165842,30000,3,0.8611111111111112,natural_qa:mode=openbook
3,ai21_j1-grande,0.5778338165916532,30000,3,0.5,natural_qa:mode=openbook
4,ai21_j1-grande-v2-beta,0.6245416926486144,30000,3,0.7222222222222222,natural_qa:mode=openbook
5,ai21_j1-jumbo,0.5952126219349454,30000,3,0.5555555555555556,natural_qa:mode=openbook
6,ai21_j1-large,0.5321738626871021,30000,3,0.3055555555555556,natural_qa:mode=openbook
7,anthropic_stanford-online-all-v4-s3,0.6863918123779374,30000,3,0.8888888888888888,natural_qa:mode=openbook
8,cohere_command-medium-beta,0.7174919222528221,30000,3,0.9444444444444444,natural_qa:mode=openbook
9,cohere_command-xlarge-beta,0.7599222726809983,30000,3,0.9722222222222222,natural_qa:mode=openbook
10,cohere_large-20220720,0.5732587473328845,30000,3,0.4722222222222222,natural_qa:mode=openbook
11,cohere_medium-20220720,0.5040781943652257,30000,3,0.25,natural_qa:mode=openbook
12,cohere_medium-20221108,0.5169831729768285,30000,3,0.2777777777777778,natural_qa:mode=openbook
13,cohere_small-20220720,0.3094735012345826,30000,3,0.08333333333333333,natural_qa:mode=openbook
14,cohere_xlarge-20220609,0.5951499201979565,30000,3,0.5277777777777778,natural_qa:mode=openbook
15,cohere_xlarge-20221108,0.6284877270198667,30000,3,0.7777777777777778,natural_qa:mode=openbook
16,microsoft_TNLGv2_530B,0.6421426198542494,30000,3,0.8055555555555556,natural_qa:mode=openbook
17,microsoft_TNLGv2_7B,0.5610321289166954,30000,3,0.3888888888888889,natural_qa:mode=openbook
18,openai_ada,0.3651114721289236,30000,3,0.16666666666666666,natural_qa:mode=openbook
19,openai_babbage,0.4512840216524929,30000,3,0.19444444444444445,natural_qa:mode=openbook
20,openai_curie,0.5515039669865898,30000,3,0.3333333333333333,natural_qa:mode=openbook
21,openai_davinci,0.6245969015358851,30000,3,0.75,natural_qa:mode=openbook
22,openai_text-ada-001,0.1488303775311014,30000,3,0.0,natural_qa:mode=openbook
23,openai_text-babbage-001,0.3295677125025385,30000,3,0.1111111111111111,natural_qa:mode=openbook
24,openai_text-curie-001,0.5713593297545251,30000,3,0.4444444444444444,natural_qa:mode=openbook
25,openai_text-davinci-002,0.7131585271286977,30000,3,0.9166666666666666,natural_qa:mode=openbook
26,openai_text-davinci-003,0.7702290061206398,30000,3,1.0,natural_qa:mode=openbook
27,together_bloom,0.6213206043276372,30000,3,0.6944444444444444,natural_qa:mode=openbook
28,together_glm,0.6424303381577149,30000,3,0.8333333333333334,natural_qa:mode=openbook
29,together_gpt-j-6b,0.5589065746807945,30000,3,0.3611111111111111,natural_qa:mode=openbook
30,together_gpt-neox-20b,0.5960813295706041,30000,3,0.6111111111111112,natural_qa:mode=openbook
31,together_opt-175b,0.6148767153993117,30000,3,0.6666666666666666,natural_qa:mode=openbook
32,together_opt-66b,0.5959786340023702,30000,3,0.5833333333333334,natural_qa:mode=openbook
33,together_t0pp,0.1897136950280302,30000,3,0.027777777777777776,natural_qa:mode=openbook
34,together_t5-11b,0.4773210844438499,30000,3,0.2222222222222222,natural_qa:mode=openbook
35,together_ul2,0.3492160309722792,30000,3,0.1388888888888889,natural_qa:mode=openbook
36,together_yalm,0.2265558450613026,30000,3,0.05555555555555555,natural_qa:mode=openbook
0,AlephAlpha_luminous-base,0.5682901926061223,30000,4,0.4166666666666667,natural_qa:mode=openbook
1,AlephAlpha_luminous-extended,0.6088545938518366,30000,4,0.6388888888888888,natural_qa:mode=openbook
2,AlephAlpha_luminous-supreme,0.6485668687165842,30000,4,0.8611111111111112,natural_qa:mode=openbook
3,ai21_j1-grande,0.5778338165916532,30000,4,0.5,natural_qa:mode=openbook
4,ai21_j1-grande-v2-beta,0.6245416926486144,30000,4,0.7222222222222222,natural_qa:mode=openbook
5,ai21_j1-jumbo,0.5952126219349454,30000,4,0.5555555555555556,natural_qa:mode=openbook
6,ai21_j1-large,0.5321738626871021,30000,4,0.3055555555555556,natural_qa:mode=openbook
7,anthropic_stanford-online-all-v4-s3,0.6863918123779374,30000,4,0.8888888888888888,natural_qa:mode=openbook
8,cohere_command-medium-beta,0.7174919222528221,30000,4,0.9444444444444444,natural_qa:mode=openbook
9,cohere_command-xlarge-beta,0.7599222726809983,30000,4,0.9722222222222222,natural_qa:mode=openbook
10,cohere_large-20220720,0.5732587473328845,30000,4,0.4722222222222222,natural_qa:mode=openbook
11,cohere_medium-20220720,0.5040781943652257,30000,4,0.25,natural_qa:mode=openbook
12,cohere_medium-20221108,0.5169831729768285,30000,4,0.2777777777777778,natural_qa:mode=openbook
13,cohere_small-20220720,0.3094735012345826,30000,4,0.08333333333333333,natural_qa:mode=openbook
14,cohere_xlarge-20220609,0.5951499201979565,30000,4,0.5277777777777778,natural_qa:mode=openbook
15,cohere_xlarge-20221108,0.6284877270198667,30000,4,0.7777777777777778,natural_qa:mode=openbook
16,microsoft_TNLGv2_530B,0.6421426198542494,30000,4,0.8055555555555556,natural_qa:mode=openbook
17,microsoft_TNLGv2_7B,0.5610321289166954,30000,4,0.3888888888888889,natural_qa:mode=openbook
18,openai_ada,0.3651114721289236,30000,4,0.16666666666666666,natural_qa:mode=openbook
19,openai_babbage,0.4512840216524929,30000,4,0.19444444444444445,natural_qa:mode=openbook
20,openai_curie,0.5515039669865898,30000,4,0.3333333333333333,natural_qa:mode=openbook
21,openai_davinci,0.6245969015358851,30000,4,0.75,natural_qa:mode=openbook
22,openai_text-ada-001,0.1488303775311014,30000,4,0.0,natural_qa:mode=openbook
23,openai_text-babbage-001,0.3295677125025385,30000,4,0.1111111111111111,natural_qa:mode=openbook
24,openai_text-curie-001,0.5713593297545251,30000,4,0.4444444444444444,natural_qa:mode=openbook
25,openai_text-davinci-002,0.7131585271286977,30000,4,0.9166666666666666,natural_qa:mode=openbook
26,openai_text-davinci-003,0.7702290061206398,30000,4,1.0,natural_qa:mode=openbook
27,together_bloom,0.6213206043276372,30000,4,0.6944444444444444,natural_qa:mode=openbook
28,together_glm,0.6424303381577149,30000,4,0.8333333333333334,natural_qa:mode=openbook
29,together_gpt-j-6b,0.5589065746807945,30000,4,0.3611111111111111,natural_qa:mode=openbook
30,together_gpt-neox-20b,0.5960813295706041,30000,4,0.6111111111111112,natural_qa:mode=openbook
31,together_opt-175b,0.6148767153993117,30000,4,0.6666666666666666,natural_qa:mode=openbook
32,together_opt-66b,0.5959786340023702,30000,4,0.5833333333333334,natural_qa:mode=openbook
33,together_t0pp,0.1897136950280302,30000,4,0.027777777777777776,natural_qa:mode=openbook
34,together_t5-11b,0.4773210844438499,30000,4,0.2222222222222222,natural_qa:mode=openbook
35,together_ul2,0.3492160309722792,30000,4,0.1388888888888889,natural_qa:mode=openbook
36,together_yalm,0.2265558450613026,30000,4,0.05555555555555555,natural_qa:mode=openbook
0,AlephAlpha_luminous-base,0.5682901926061223,30000,5,0.4166666666666667,natural_qa:mode=openbook
1,AlephAlpha_luminous-extended,0.6088545938518366,30000,5,0.6388888888888888,natural_qa:mode=openbook
2,AlephAlpha_luminous-supreme,0.6485668687165842,30000,5,0.8611111111111112,natural_qa:mode=openbook
3,ai21_j1-grande,0.5778338165916532,30000,5,0.5,natural_qa:mode=openbook
4,ai21_j1-grande-v2-beta,0.6245416926486144,30000,5,0.7222222222222222,natural_qa:mode=openbook
5,ai21_j1-jumbo,0.5952126219349454,30000,5,0.5555555555555556,natural_qa:mode=openbook
6,ai21_j1-large,0.5321738626871021,30000,5,0.3055555555555556,natural_qa:mode=openbook
7,anthropic_stanford-online-all-v4-s3,0.6863918123779374,30000,5,0.8888888888888888,natural_qa:mode=openbook
8,cohere_command-medium-beta,0.7174919222528221,30000,5,0.9444444444444444,natural_qa:mode=openbook
9,cohere_command-xlarge-beta,0.7599222726809983,30000,5,0.9722222222222222,natural_qa:mode=openbook
10,cohere_large-20220720,0.5732587473328845,30000,5,0.4722222222222222,natural_qa:mode=openbook
11,cohere_medium-20220720,0.5040781943652257,30000,5,0.25,natural_qa:mode=openbook
12,cohere_medium-20221108,0.5169831729768285,30000,5,0.2777777777777778,natural_qa:mode=openbook
13,cohere_small-20220720,0.3094735012345826,30000,5,0.08333333333333333,natural_qa:mode=openbook
14,cohere_xlarge-20220609,0.5951499201979565,30000,5,0.5277777777777778,natural_qa:mode=openbook
15,cohere_xlarge-20221108,0.6284877270198667,30000,5,0.7777777777777778,natural_qa:mode=openbook
16,microsoft_TNLGv2_530B,0.6421426198542494,30000,5,0.8055555555555556,natural_qa:mode=openbook
17,microsoft_TNLGv2_7B,0.5610321289166954,30000,5,0.3888888888888889,natural_qa:mode=openbook
18,openai_ada,0.3651114721289236,30000,5,0.16666666666666666,natural_qa:mode=openbook
19,openai_babbage,0.4512840216524929,30000,5,0.19444444444444445,natural_qa:mode=openbook
20,openai_curie,0.5515039669865898,30000,5,0.3333333333333333,natural_qa:mode=openbook
21,openai_davinci,0.6245969015358851,30000,5,0.75,natural_qa:mode=openbook
22,openai_text-ada-001,0.1488303775311014,30000,5,0.0,natural_qa:mode=openbook
23,openai_text-babbage-001,0.3295677125025385,30000,5,0.1111111111111111,natural_qa:mode=openbook
24,openai_text-curie-001,0.5713593297545251,30000,5,0.4444444444444444,natural_qa:mode=openbook
25,openai_text-davinci-002,0.7131585271286977,30000,5,0.9166666666666666,natural_qa:mode=openbook
26,openai_text-davinci-003,0.7702290061206398,30000,5,1.0,natural_qa:mode=openbook
27,together_bloom,0.6213206043276372,30000,5,0.6944444444444444,natural_qa:mode=openbook
28,together_glm,0.6424303381577149,30000,5,0.8333333333333334,natural_qa:mode=openbook
29,together_gpt-j-6b,0.5589065746807945,30000,5,0.3611111111111111,natural_qa:mode=openbook
30,together_gpt-neox-20b,0.5960813295706041,30000,5,0.6111111111111112,natural_qa:mode=openbook
31,together_opt-175b,0.6148767153993117,30000,5,0.6666666666666666,natural_qa:mode=openbook
32,together_opt-66b,0.5959786340023702,30000,5,0.5833333333333334,natural_qa:mode=openbook
33,together_t0pp,0.1897136950280302,30000,5,0.027777777777777776,natural_qa:mode=openbook
34,together_t5-11b,0.4773210844438499,30000,5,0.2222222222222222,natural_qa:mode=openbook
35,together_ul2,0.3492160309722792,30000,5,0.1388888888888889,natural_qa:mode=openbook
36,together_yalm,0.2265558450613026,30000,5,0.05555555555555555,natural_qa:mode=openbook
0,AlephAlpha_luminous-base,0.5682901926061223,30000,6,0.4166666666666667,natural_qa:mode=openbook
1,AlephAlpha_luminous-extended,0.6088545938518366,30000,6,0.6388888888888888,natural_qa:mode=openbook
2,AlephAlpha_luminous-supreme,0.6485668687165842,30000,6,0.8611111111111112,natural_qa:mode=openbook
3,ai21_j1-grande,0.5778338165916532,30000,6,0.5,natural_qa:mode=openbook
4,ai21_j1-grande-v2-beta,0.6245416926486144,30000,6,0.7222222222222222,natural_qa:mode=openbook
5,ai21_j1-jumbo,0.5952126219349454,30000,6,0.5555555555555556,natural_qa:mode=openbook
6,ai21_j1-large,0.5321738626871021,30000,6,0.3055555555555556,natural_qa:mode=openbook
7,anthropic_stanford-online-all-v4-s3,0.6863918123779374,30000,6,0.8888888888888888,natural_qa:mode=openbook
8,cohere_command-medium-beta,0.7174919222528221,30000,6,0.9444444444444444,natural_qa:mode=openbook
9,cohere_command-xlarge-beta,0.7599222726809983,30000,6,0.9722222222222222,natural_qa:mode=openbook
10,cohere_large-20220720,0.5732587473328845,30000,6,0.4722222222222222,natural_qa:mode=openbook
11,cohere_medium-20220720,0.5040781943652257,30000,6,0.25,natural_qa:mode=openbook
12,cohere_medium-20221108,0.5169831729768285,30000,6,0.2777777777777778,natural_qa:mode=openbook
13,cohere_small-20220720,0.3094735012345826,30000,6,0.08333333333333333,natural_qa:mode=openbook
14,cohere_xlarge-20220609,0.5951499201979565,30000,6,0.5277777777777778,natural_qa:mode=openbook
15,cohere_xlarge-20221108,0.6284877270198667,30000,6,0.7777777777777778,natural_qa:mode=openbook
16,microsoft_TNLGv2_530B,0.6421426198542494,30000,6,0.8055555555555556,natural_qa:mode=openbook
17,microsoft_TNLGv2_7B,0.5610321289166954,30000,6,0.3888888888888889,natural_qa:mode=openbook
18,openai_ada,0.3651114721289236,30000,6,0.16666666666666666,natural_qa:mode=openbook
19,openai_babbage,0.4512840216524929,30000,6,0.19444444444444445,natural_qa:mode=openbook
20,openai_curie,0.5515039669865898,30000,6,0.3333333333333333,natural_qa:mode=openbook
21,openai_davinci,0.6245969015358851,30000,6,0.75,natural_qa:mode=openbook
22,openai_text-ada-001,0.1488303775311014,30000,6,0.0,natural_qa:mode=openbook
23,openai_text-babbage-001,0.3295677125025385,30000,6,0.1111111111111111,natural_qa:mode=openbook
24,openai_text-curie-001,0.5713593297545251,30000,6,0.4444444444444444,natural_qa:mode=openbook
25,openai_text-davinci-002,0.7131585271286977,30000,6,0.9166666666666666,natural_qa:mode=openbook
26,openai_text-davinci-003,0.7702290061206398,30000,6,1.0,natural_qa:mode=openbook
27,together_bloom,0.6213206043276372,30000,6,0.6944444444444444,natural_qa:mode=openbook
28,together_glm,0.6424303381577149,30000,6,0.8333333333333334,natural_qa:mode=openbook
29,together_gpt-j-6b,0.5589065746807945,30000,6,0.3611111111111111,natural_qa:mode=openbook
30,together_gpt-neox-20b,0.5960813295706041,30000,6,0.6111111111111112,natural_qa:mode=openbook
31,together_opt-175b,0.6148767153993117,30000,6,0.6666666666666666,natural_qa:mode=openbook
32,together_opt-66b,0.5959786340023702,30000,6,0.5833333333333334,natural_qa:mode=openbook
33,together_t0pp,0.1897136950280302,30000,6,0.027777777777777776,natural_qa:mode=openbook
34,together_t5-11b,0.4773210844438499,30000,6,0.2222222222222222,natural_qa:mode=openbook
35,together_ul2,0.3492160309722792,30000,6,0.1388888888888889,natural_qa:mode=openbook
36,together_yalm,0.2265558450613026,30000,6,0.05555555555555555,natural_qa:mode=openbook
0,AlephAlpha_luminous-base,0.5682901926061223,30000,7,0.4166666666666667,natural_qa:mode=openbook
1,AlephAlpha_luminous-extended,0.6088545938518366,30000,7,0.6388888888888888,natural_qa:mode=openbook
2,AlephAlpha_luminous-supreme,0.6485668687165842,30000,7,0.8611111111111112,natural_qa:mode=openbook
3,ai21_j1-grande,0.5778338165916532,30000,7,0.5,natural_qa:mode=openbook
4,ai21_j1-grande-v2-beta,0.6245416926486144,30000,7,0.7222222222222222,natural_qa:mode=openbook
5,ai21_j1-jumbo,0.5952126219349454,30000,7,0.5555555555555556,natural_qa:mode=openbook
6,ai21_j1-large,0.5321738626871021,30000,7,0.3055555555555556,natural_qa:mode=openbook
7,anthropic_stanford-online-all-v4-s3,0.6863918123779374,30000,7,0.8888888888888888,natural_qa:mode=openbook
8,cohere_command-medium-beta,0.7174919222528221,30000,7,0.9444444444444444,natural_qa:mode=openbook
9,cohere_command-xlarge-beta,0.7599222726809983,30000,7,0.9722222222222222,natural_qa:mode=openbook
10,cohere_large-20220720,0.5732587473328845,30000,7,0.4722222222222222,natural_qa:mode=openbook
11,cohere_medium-20220720,0.5040781943652257,30000,7,0.25,natural_qa:mode=openbook
12,cohere_medium-20221108,0.5169831729768285,30000,7,0.2777777777777778,natural_qa:mode=openbook
13,cohere_small-20220720,0.3094735012345826,30000,7,0.08333333333333333,natural_qa:mode=openbook
14,cohere_xlarge-20220609,0.5951499201979565,30000,7,0.5277777777777778,natural_qa:mode=openbook
15,cohere_xlarge-20221108,0.6284877270198667,30000,7,0.7777777777777778,natural_qa:mode=openbook
16,microsoft_TNLGv2_530B,0.6421426198542494,30000,7,0.8055555555555556,natural_qa:mode=openbook
17,microsoft_TNLGv2_7B,0.5610321289166954,30000,7,0.3888888888888889,natural_qa:mode=openbook
18,openai_ada,0.3651114721289236,30000,7,0.16666666666666666,natural_qa:mode=openbook
19,openai_babbage,0.4512840216524929,30000,7,0.19444444444444445,natural_qa:mode=openbook
20,openai_curie,0.5515039669865898,30000,7,0.3333333333333333,natural_qa:mode=openbook
21,openai_davinci,0.6245969015358851,30000,7,0.75,natural_qa:mode=openbook
22,openai_text-ada-001,0.1488303775311014,30000,7,0.0,natural_qa:mode=openbook
23,openai_text-babbage-001,0.3295677125025385,30000,7,0.1111111111111111,natural_qa:mode=openbook
24,openai_text-curie-001,0.5713593297545251,30000,7,0.4444444444444444,natural_qa:mode=openbook
25,openai_text-davinci-002,0.7131585271286977,30000,7,0.9166666666666666,natural_qa:mode=openbook
26,openai_text-davinci-003,0.7702290061206398,30000,7,1.0,natural_qa:mode=openbook
27,together_bloom,0.6213206043276372,30000,7,0.6944444444444444,natural_qa:mode=openbook
28,together_glm,0.6424303381577149,30000,7,0.8333333333333334,natural_qa:mode=openbook
29,together_gpt-j-6b,0.5589065746807945,30000,7,0.3611111111111111,natural_qa:mode=openbook
30,together_gpt-neox-20b,0.5960813295706041,30000,7,0.6111111111111112,natural_qa:mode=openbook
