,model,balanced_score,n_samples,trial_num,win_rate,scenario
28,together_glm,0.2543834863334784,150,1,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,1,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,1,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,1,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,1,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,1,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,1,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,1,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,1,0.05555555555555555,summarization_xsum
0,AlephAlpha_luminous-base,0.1613463628036312,150,2,0.4444444444444444,summarization_xsum
1,AlephAlpha_luminous-extended,0.2290966712718053,150,2,0.6388888888888888,summarization_xsum
2,AlephAlpha_luminous-supreme,0.2856836286241387,150,2,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1906326333212764,150,2,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.3067981990214722,150,2,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.2613191357280475,150,2,0.7222222222222222,summarization_xsum
6,ai21_j1-large,0.1647519841798085,150,2,0.4722222222222222,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.2719418627862593,150,2,0.8055555555555556,summarization_xsum
8,cohere_command-medium-beta,0.2059997725632757,150,2,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.3149682719059017,150,2,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1860067003000137,150,2,0.5,summarization_xsum
11,cohere_medium-20220720,0.1105298502706518,150,2,0.3055555555555556,summarization_xsum
12,cohere_medium-20221108,0.1418131468699613,150,2,0.3888888888888889,summarization_xsum
13,cohere_small-20220720,0.0179973010629023,150,2,0.08333333333333333,summarization_xsum
14,cohere_xlarge-20220609,0.269553669056868,150,2,0.7777777777777778,summarization_xsum
15,cohere_xlarge-20221108,0.3288505640300861,150,2,0.9444444444444444,summarization_xsum
16,microsoft_TNLGv2_530B,0.3677732290090437,150,2,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1914366026472848,150,2,0.5555555555555556,summarization_xsum
18,openai_ada,0.0152456156419893,150,2,0.027777777777777776,summarization_xsum
19,openai_babbage,0.0428695882180754,150,2,0.19444444444444445,summarization_xsum
20,openai_curie,0.1326982641457443,150,2,0.3333333333333333,summarization_xsum
21,openai_davinci,0.246992266787993,150,2,0.6666666666666666,summarization_xsum
22,openai_text-ada-001,0.0324344870008388,150,2,0.1388888888888889,summarization_xsum
23,openai_text-babbage-001,0.0464972815584007,150,2,0.2222222222222222,summarization_xsum
24,openai_text-curie-001,0.1008993915628209,150,2,0.25,summarization_xsum
25,openai_text-davinci-002,0.3063111419277597,150,2,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.2207566183232855,150,2,0.6111111111111112,summarization_xsum
27,together_bloom,0.0181621136633224,150,2,0.1111111111111111,summarization_xsum
28,together_glm,0.2543834863334784,150,2,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,2,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,2,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,2,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,2,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,2,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,2,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,2,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,2,0.05555555555555555,summarization_xsum
0,AlephAlpha_luminous-base,0.1613463628036312,150,3,0.4444444444444444,summarization_xsum
1,AlephAlpha_luminous-extended,0.2290966712718053,150,3,0.6388888888888888,summarization_xsum
2,AlephAlpha_luminous-supreme,0.2856836286241387,150,3,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1906326333212764,150,3,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.3067981990214722,150,3,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.2613191357280475,150,3,0.7222222222222222,summarization_xsum
6,ai21_j1-large,0.1647519841798085,150,3,0.4722222222222222,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.2719418627862593,150,3,0.8055555555555556,summarization_xsum
8,cohere_command-medium-beta,0.2059997725632757,150,3,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.3149682719059017,150,3,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1860067003000137,150,3,0.5,summarization_xsum
11,cohere_medium-20220720,0.1105298502706518,150,3,0.3055555555555556,summarization_xsum
12,cohere_medium-20221108,0.1418131468699613,150,3,0.3888888888888889,summarization_xsum
13,cohere_small-20220720,0.0179973010629023,150,3,0.08333333333333333,summarization_xsum
14,cohere_xlarge-20220609,0.269553669056868,150,3,0.7777777777777778,summarization_xsum
15,cohere_xlarge-20221108,0.3288505640300861,150,3,0.9444444444444444,summarization_xsum
16,microsoft_TNLGv2_530B,0.3677732290090437,150,3,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1914366026472848,150,3,0.5555555555555556,summarization_xsum
18,openai_ada,0.0152456156419893,150,3,0.027777777777777776,summarization_xsum
19,openai_babbage,0.0428695882180754,150,3,0.19444444444444445,summarization_xsum
20,openai_curie,0.1326982641457443,150,3,0.3333333333333333,summarization_xsum
21,openai_davinci,0.246992266787993,150,3,0.6666666666666666,summarization_xsum
22,openai_text-ada-001,0.0324344870008388,150,3,0.1388888888888889,summarization_xsum
23,openai_text-babbage-001,0.0464972815584007,150,3,0.2222222222222222,summarization_xsum
24,openai_text-curie-001,0.1008993915628209,150,3,0.25,summarization_xsum
25,openai_text-davinci-002,0.3063111419277597,150,3,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.2207566183232855,150,3,0.6111111111111112,summarization_xsum
27,together_bloom,0.0181621136633224,150,3,0.1111111111111111,summarization_xsum
28,together_glm,0.2543834863334784,150,3,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,3,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,3,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,3,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,3,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,3,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,3,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,3,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,3,0.05555555555555555,summarization_xsum
0,AlephAlpha_luminous-base,0.1613463628036312,150,4,0.4444444444444444,summarization_xsum
1,AlephAlpha_luminous-extended,0.2290966712718053,150,4,0.6388888888888888,summarization_xsum
2,AlephAlpha_luminous-supreme,0.2856836286241387,150,4,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1906326333212764,150,4,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.3067981990214722,150,4,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.2613191357280475,150,4,0.7222222222222222,summarization_xsum
6,ai21_j1-large,0.1647519841798085,150,4,0.4722222222222222,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.2719418627862593,150,4,0.8055555555555556,summarization_xsum
8,cohere_command-medium-beta,0.2059997725632757,150,4,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.3149682719059017,150,4,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1860067003000137,150,4,0.5,summarization_xsum
11,cohere_medium-20220720,0.1105298502706518,150,4,0.3055555555555556,summarization_xsum
12,cohere_medium-20221108,0.1418131468699613,150,4,0.3888888888888889,summarization_xsum
13,cohere_small-20220720,0.0179973010629023,150,4,0.08333333333333333,summarization_xsum
14,cohere_xlarge-20220609,0.269553669056868,150,4,0.7777777777777778,summarization_xsum
15,cohere_xlarge-20221108,0.3288505640300861,150,4,0.9444444444444444,summarization_xsum
16,microsoft_TNLGv2_530B,0.3677732290090437,150,4,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1914366026472848,150,4,0.5555555555555556,summarization_xsum
18,openai_ada,0.0152456156419893,150,4,0.027777777777777776,summarization_xsum
19,openai_babbage,0.0428695882180754,150,4,0.19444444444444445,summarization_xsum
20,openai_curie,0.1326982641457443,150,4,0.3333333333333333,summarization_xsum
21,openai_davinci,0.246992266787993,150,4,0.6666666666666666,summarization_xsum
22,openai_text-ada-001,0.0324344870008388,150,4,0.1388888888888889,summarization_xsum
23,openai_text-babbage-001,0.0464972815584007,150,4,0.2222222222222222,summarization_xsum
24,openai_text-curie-001,0.1008993915628209,150,4,0.25,summarization_xsum
25,openai_text-davinci-002,0.3063111419277597,150,4,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.2207566183232855,150,4,0.6111111111111112,summarization_xsum
27,together_bloom,0.0181621136633224,150,4,0.1111111111111111,summarization_xsum
28,together_glm,0.2543834863334784,150,4,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,4,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,4,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,4,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,4,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,4,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,4,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,4,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,4,0.05555555555555555,summarization_xsum
0,AlephAlpha_luminous-base,0.1613463628036312,150,5,0.4444444444444444,summarization_xsum
1,AlephAlpha_luminous-extended,0.2290966712718053,150,5,0.6388888888888888,summarization_xsum
2,AlephAlpha_luminous-supreme,0.2856836286241387,150,5,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1906326333212764,150,5,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.3067981990214722,150,5,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.2613191357280475,150,5,0.7222222222222222,summarization_xsum
6,ai21_j1-large,0.1647519841798085,150,5,0.4722222222222222,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.2719418627862593,150,5,0.8055555555555556,summarization_xsum
8,cohere_command-medium-beta,0.2059997725632757,150,5,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.3149682719059017,150,5,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1860067003000137,150,5,0.5,summarization_xsum
11,cohere_medium-20220720,0.1105298502706518,150,5,0.3055555555555556,summarization_xsum
12,cohere_medium-20221108,0.1418131468699613,150,5,0.3888888888888889,summarization_xsum
13,cohere_small-20220720,0.0179973010629023,150,5,0.08333333333333333,summarization_xsum
14,cohere_xlarge-20220609,0.269553669056868,150,5,0.7777777777777778,summarization_xsum
15,cohere_xlarge-20221108,0.3288505640300861,150,5,0.9444444444444444,summarization_xsum
16,microsoft_TNLGv2_530B,0.3677732290090437,150,5,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1914366026472848,150,5,0.5555555555555556,summarization_xsum
18,openai_ada,0.0152456156419893,150,5,0.027777777777777776,summarization_xsum
19,openai_babbage,0.0428695882180754,150,5,0.19444444444444445,summarization_xsum
20,openai_curie,0.1326982641457443,150,5,0.3333333333333333,summarization_xsum
21,openai_davinci,0.246992266787993,150,5,0.6666666666666666,summarization_xsum
22,openai_text-ada-001,0.0324344870008388,150,5,0.1388888888888889,summarization_xsum
23,openai_text-babbage-001,0.0464972815584007,150,5,0.2222222222222222,summarization_xsum
24,openai_text-curie-001,0.1008993915628209,150,5,0.25,summarization_xsum
25,openai_text-davinci-002,0.3063111419277597,150,5,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.2207566183232855,150,5,0.6111111111111112,summarization_xsum
27,together_bloom,0.0181621136633224,150,5,0.1111111111111111,summarization_xsum
28,together_glm,0.2543834863334784,150,5,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,5,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,5,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,5,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,5,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,5,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,5,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,5,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,5,0.05555555555555555,summarization_xsum
0,AlephAlpha_luminous-base,0.1613463628036312,150,6,0.4444444444444444,summarization_xsum
1,AlephAlpha_luminous-extended,0.2290966712718053,150,6,0.6388888888888888,summarization_xsum
2,AlephAlpha_luminous-supreme,0.2856836286241387,150,6,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1906326333212764,150,6,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.3067981990214722,150,6,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.2613191357280475,150,6,0.7222222222222222,summarization_xsum
6,ai21_j1-large,0.1647519841798085,150,6,0.4722222222222222,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.2719418627862593,150,6,0.8055555555555556,summarization_xsum
8,cohere_command-medium-beta,0.2059997725632757,150,6,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.3149682719059017,150,6,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1860067003000137,150,6,0.5,summarization_xsum
11,cohere_medium-20220720,0.1105298502706518,150,6,0.3055555555555556,summarization_xsum
12,cohere_medium-20221108,0.1418131468699613,150,6,0.3888888888888889,summarization_xsum
13,cohere_small-20220720,0.0179973010629023,150,6,0.08333333333333333,summarization_xsum
14,cohere_xlarge-20220609,0.269553669056868,150,6,0.7777777777777778,summarization_xsum
15,cohere_xlarge-20221108,0.3288505640300861,150,6,0.9444444444444444,summarization_xsum
16,microsoft_TNLGv2_530B,0.3677732290090437,150,6,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1914366026472848,150,6,0.5555555555555556,summarization_xsum
18,openai_ada,0.0152456156419893,150,6,0.027777777777777776,summarization_xsum
19,openai_babbage,0.0428695882180754,150,6,0.19444444444444445,summarization_xsum
20,openai_curie,0.1326982641457443,150,6,0.3333333333333333,summarization_xsum
21,openai_davinci,0.246992266787993,150,6,0.6666666666666666,summarization_xsum
22,openai_text-ada-001,0.0324344870008388,150,6,0.1388888888888889,summarization_xsum
23,openai_text-babbage-001,0.0464972815584007,150,6,0.2222222222222222,summarization_xsum
24,openai_text-curie-001,0.1008993915628209,150,6,0.25,summarization_xsum
25,openai_text-davinci-002,0.3063111419277597,150,6,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.2207566183232855,150,6,0.6111111111111112,summarization_xsum
27,together_bloom,0.0181621136633224,150,6,0.1111111111111111,summarization_xsum
28,together_glm,0.2543834863334784,150,6,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,6,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,6,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,6,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,6,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,6,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,6,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,6,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,6,0.05555555555555555,summarization_xsum
0,AlephAlpha_luminous-base,0.1613463628036312,150,7,0.4444444444444444,summarization_xsum
1,AlephAlpha_luminous-extended,0.2290966712718053,150,7,0.6388888888888888,summarization_xsum
2,AlephAlpha_luminous-supreme,0.2856836286241387,150,7,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1906326333212764,150,7,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.3067981990214722,150,7,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.2613191357280475,150,7,0.7222222222222222,summarization_xsum
6,ai21_j1-large,0.1647519841798085,150,7,0.4722222222222222,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.2719418627862593,150,7,0.8055555555555556,summarization_xsum
8,cohere_command-medium-beta,0.2059997725632757,150,7,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.3149682719059017,150,7,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1860067003000137,150,7,0.5,summarization_xsum
11,cohere_medium-20220720,0.1105298502706518,150,7,0.3055555555555556,summarization_xsum
12,cohere_medium-20221108,0.1418131468699613,150,7,0.3888888888888889,summarization_xsum
13,cohere_small-20220720,0.0179973010629023,150,7,0.08333333333333333,summarization_xsum
14,cohere_xlarge-20220609,0.269553669056868,150,7,0.7777777777777778,summarization_xsum
15,cohere_xlarge-20221108,0.3288505640300861,150,7,0.9444444444444444,summarization_xsum
16,microsoft_TNLGv2_530B,0.3677732290090437,150,7,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1914366026472848,150,7,0.5555555555555556,summarization_xsum
18,openai_ada,0.0152456156419893,150,7,0.027777777777777776,summarization_xsum
19,openai_babbage,0.0428695882180754,150,7,0.19444444444444445,summarization_xsum
20,openai_curie,0.1326982641457443,150,7,0.3333333333333333,summarization_xsum
21,openai_davinci,0.246992266787993,150,7,0.6666666666666666,summarization_xsum
22,openai_text-ada-001,0.0324344870008388,150,7,0.1388888888888889,summarization_xsum
23,openai_text-babbage-001,0.0464972815584007,150,7,0.2222222222222222,summarization_xsum
24,openai_text-curie-001,0.1008993915628209,150,7,0.25,summarization_xsum
25,openai_text-davinci-002,0.3063111419277597,150,7,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.2207566183232855,150,7,0.6111111111111112,summarization_xsum
27,together_bloom,0.0181621136633224,150,7,0.1111111111111111,summarization_xsum
28,together_glm,0.2543834863334784,150,7,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,7,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,7,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,7,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,7,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,7,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,7,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,7,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,7,0.05555555555555555,summarization_xsum
0,AlephAlpha_luminous-base,0.1613463628036312,150,8,0.4444444444444444,summarization_xsum
1,AlephAlpha_luminous-extended,0.2290966712718053,150,8,0.6388888888888888,summarization_xsum
2,AlephAlpha_luminous-supreme,0.2856836286241387,150,8,0.8333333333333334,summarization_xsum
3,ai21_j1-grande,0.1906326333212764,150,8,0.5277777777777778,summarization_xsum
4,ai21_j1-grande-v2-beta,0.3067981990214722,150,8,0.8888888888888888,summarization_xsum
5,ai21_j1-jumbo,0.2613191357280475,150,8,0.7222222222222222,summarization_xsum
6,ai21_j1-large,0.1647519841798085,150,8,0.4722222222222222,summarization_xsum
7,anthropic_stanford-online-all-v4-s3,0.2719418627862593,150,8,0.8055555555555556,summarization_xsum
8,cohere_command-medium-beta,0.2059997725632757,150,8,0.5833333333333334,summarization_xsum
9,cohere_command-xlarge-beta,0.3149682719059017,150,8,0.9166666666666666,summarization_xsum
10,cohere_large-20220720,0.1860067003000137,150,8,0.5,summarization_xsum
11,cohere_medium-20220720,0.1105298502706518,150,8,0.3055555555555556,summarization_xsum
12,cohere_medium-20221108,0.1418131468699613,150,8,0.3888888888888889,summarization_xsum
13,cohere_small-20220720,0.0179973010629023,150,8,0.08333333333333333,summarization_xsum
14,cohere_xlarge-20220609,0.269553669056868,150,8,0.7777777777777778,summarization_xsum
15,cohere_xlarge-20221108,0.3288505640300861,150,8,0.9444444444444444,summarization_xsum
16,microsoft_TNLGv2_530B,0.3677732290090437,150,8,1.0,summarization_xsum
17,microsoft_TNLGv2_7B,0.1914366026472848,150,8,0.5555555555555556,summarization_xsum
18,openai_ada,0.0152456156419893,150,8,0.027777777777777776,summarization_xsum
19,openai_babbage,0.0428695882180754,150,8,0.19444444444444445,summarization_xsum
20,openai_curie,0.1326982641457443,150,8,0.3333333333333333,summarization_xsum
21,openai_davinci,0.246992266787993,150,8,0.6666666666666666,summarization_xsum
22,openai_text-ada-001,0.0324344870008388,150,8,0.1388888888888889,summarization_xsum
23,openai_text-babbage-001,0.0464972815584007,150,8,0.2222222222222222,summarization_xsum
24,openai_text-curie-001,0.1008993915628209,150,8,0.25,summarization_xsum
25,openai_text-davinci-002,0.3063111419277597,150,8,0.8611111111111112,summarization_xsum
26,openai_text-davinci-003,0.2207566183232855,150,8,0.6111111111111112,summarization_xsum
27,together_bloom,0.0181621136633224,150,8,0.1111111111111111,summarization_xsum
28,together_glm,0.2543834863334784,150,8,0.6944444444444444,summarization_xsum
29,together_gpt-j-6b,0.1388074856835139,150,8,0.3611111111111111,summarization_xsum
30,together_gpt-neox-20b,0.1558799161896796,150,8,0.4166666666666667,summarization_xsum
31,together_opt-175b,0.3536968441722614,150,8,0.9722222222222222,summarization_xsum
32,together_opt-66b,0.2677749573420307,150,8,0.75,summarization_xsum
33,together_t0pp,0.10750321684587,150,8,0.2777777777777778,summarization_xsum
34,together_t5-11b,0.0076378681973859,150,8,0.0,summarization_xsum
35,together_ul2,0.0405551984129635,150,8,0.16666666666666666,summarization_xsum
36,together_yalm,0.0160593153879407,150,8,0.05555555555555555,summarization_xsum
