model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
AlephAlpha_luminous-base,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
AlephAlpha_luminous-extended,0.5,0.9,,0.9,30,boolq
ai21_j1-grande,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
ai21_j1-grande-v2-beta,0.5,1.0,,1.0,30,boolq
ai21_j1-jumbo,0.5,0.9,,0.9,30,boolq
ai21_j1-large,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
anthropic_stanford-online-all-v4-s3,0.5,1.0,,1.0,30,boolq
cohere_command-medium-beta,0.5,1.0,,1.0,30,boolq
cohere_command-xlarge-beta,0.5,1.0,,1.0,30,boolq
cohere_large-20220720,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
cohere_medium-20220720,0.5,0.3,,0.3,30,boolq
cohere_medium-20221108,0.5,0.5666666666666667,,0.5666666666666667,30,boolq
cohere_small-20220720,0.5,0.0,,0.0,30,boolq
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
AlephAlpha_luminous-base,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
AlephAlpha_luminous-extended,0.5,0.9,,0.9,30,boolq
ai21_j1-grande,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
ai21_j1-grande-v2-beta,0.5,1.0,,1.0,30,boolq
ai21_j1-jumbo,0.5,0.9,,0.9,30,boolq
ai21_j1-large,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
anthropic_stanford-online-all-v4-s3,0.5,1.0,,1.0,30,boolq
cohere_command-medium-beta,0.5,1.0,,1.0,30,boolq
cohere_command-xlarge-beta,0.5,1.0,,1.0,30,boolq
cohere_large-20220720,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
cohere_medium-20220720,0.5,0.3,,0.3,30,boolq
cohere_medium-20221108,0.5,0.5666666666666667,,0.5666666666666667,30,boolq
cohere_small-20220720,0.5,0.0,,0.0,30,boolq
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
AlephAlpha_luminous-base,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
AlephAlpha_luminous-extended,0.5,0.9,,0.9,30,boolq
ai21_j1-grande,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
ai21_j1-grande-v2-beta,0.5,1.0,,1.0,30,boolq
ai21_j1-jumbo,0.5,0.9,,0.9,30,boolq
ai21_j1-large,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
anthropic_stanford-online-all-v4-s3,0.5,1.0,,1.0,30,boolq
cohere_command-medium-beta,0.5,1.0,,1.0,30,boolq
cohere_command-xlarge-beta,0.5,1.0,,1.0,30,boolq
cohere_large-20220720,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
cohere_medium-20220720,0.5,0.3,,0.3,30,boolq
cohere_medium-20221108,0.5,0.5666666666666667,,0.5666666666666667,30,boolq
cohere_small-20220720,0.5,0.0,,0.0,30,boolq
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
AlephAlpha_luminous-base,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
AlephAlpha_luminous-extended,0.5,0.9,,0.9,30,boolq
ai21_j1-grande,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
ai21_j1-grande-v2-beta,0.5,1.0,,1.0,30,boolq
ai21_j1-jumbo,0.5,0.9,,0.9,30,boolq
ai21_j1-large,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
anthropic_stanford-online-all-v4-s3,0.5,1.0,,1.0,30,boolq
cohere_command-medium-beta,0.5,1.0,,1.0,30,boolq
cohere_command-xlarge-beta,0.5,1.0,,1.0,30,boolq
cohere_large-20220720,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
cohere_medium-20220720,0.5,0.3,,0.3,30,boolq
cohere_medium-20221108,0.5,0.5666666666666667,,0.5666666666666667,30,boolq
cohere_small-20220720,0.5,0.0,,0.0,30,boolq
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
AlephAlpha_luminous-base,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
AlephAlpha_luminous-extended,0.5,0.9,,0.9,30,boolq
ai21_j1-grande,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
ai21_j1-grande-v2-beta,0.5,1.0,,1.0,30,boolq
ai21_j1-jumbo,0.5,0.9,,0.9,30,boolq
ai21_j1-large,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
anthropic_stanford-online-all-v4-s3,0.5,1.0,,1.0,30,boolq
cohere_command-medium-beta,0.5,1.0,,1.0,30,boolq
cohere_command-xlarge-beta,0.5,1.0,,1.0,30,boolq
cohere_large-20220720,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
cohere_medium-20220720,0.5,0.3,,0.3,30,boolq
cohere_medium-20221108,0.5,0.5666666666666667,,0.5666666666666667,30,boolq
cohere_small-20220720,0.5,0.0,,0.0,30,boolq
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
AlephAlpha_luminous-base,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
AlephAlpha_luminous-extended,0.5,0.9,,0.9,30,boolq
ai21_j1-grande,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
ai21_j1-grande-v2-beta,0.5,1.0,,1.0,30,boolq
ai21_j1-jumbo,0.5,0.9,,0.9,30,boolq
ai21_j1-large,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
anthropic_stanford-online-all-v4-s3,0.5,1.0,,1.0,30,boolq
cohere_command-medium-beta,0.5,1.0,,1.0,30,boolq
cohere_command-xlarge-beta,0.5,1.0,,1.0,30,boolq
cohere_large-20220720,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
cohere_medium-20220720,0.5,0.3,,0.3,30,boolq
cohere_medium-20221108,0.5,0.5666666666666667,,0.5666666666666667,30,boolq
cohere_small-20220720,0.5,0.0,,0.0,30,boolq
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
AlephAlpha_luminous-base,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
AlephAlpha_luminous-extended,0.5,0.9,,0.9,30,boolq
ai21_j1-grande,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
ai21_j1-grande-v2-beta,0.5,1.0,,1.0,30,boolq
ai21_j1-jumbo,0.5,0.9,,0.9,30,boolq
ai21_j1-large,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
anthropic_stanford-online-all-v4-s3,0.5,1.0,,1.0,30,boolq
cohere_command-medium-beta,0.5,1.0,,1.0,30,boolq
cohere_command-xlarge-beta,0.5,1.0,,1.0,30,boolq
cohere_large-20220720,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
cohere_medium-20220720,0.5,0.3,,0.3,30,boolq
cohere_medium-20221108,0.5,0.5666666666666667,,0.5666666666666667,30,boolq
cohere_small-20220720,0.5,0.0,,0.0,30,boolq
cohere_xlarge-20220609,0.5,0.7333333333333333,,0.7333333333333333,30,boolq
cohere_xlarge-20221108,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
microsoft_TNLGv2_530B,0.5,1.0,,1.0,30,boolq
microsoft_TNLGv2_7B,0.5,0.6,,0.6,30,boolq
openai_ada,0.5,0.4666666666666667,,0.4666666666666667,30,boolq
openai_babbage,0.5,0.0,,0.0,30,boolq
openai_curie,0.5,0.23333333333333334,,0.23333333333333334,30,boolq
openai_davinci,0.5,0.8333333333333334,,0.8333333333333334,30,boolq
openai_text-ada-001,0.5,0.03333333333333333,,0.03333333333333333,30,boolq
openai_text-babbage-001,0.5,0.0,,0.0,30,boolq
openai_text-curie-001,0.5,0.1,,0.1,30,boolq
openai_text-davinci-002,0.5,1.0,,1.0,30,boolq
openai_text-davinci-003,0.5,1.0,,1.0,30,boolq
together_bloom,0.5,0.7666666666666667,,0.7666666666666667,30,boolq
together_glm,0.5,0.9333333333333333,,0.9333333333333333,30,boolq
together_gpt-j-6b,0.5,0.8,,0.8,30,boolq
together_gpt-neox-20b,0.5,0.4,,0.4,30,boolq
together_opt-175b,0.5,1.0,,1.0,30,boolq
together_opt-66b,0.5,0.9,,0.9,30,boolq
together_t0pp,0.5,0.0,,0.0,30,boolq
together_t5-11b,0.5,0.9666666666666667,,0.9666666666666667,30,boolq
together_ul2,0.5,0.8,,0.8,30,boolq
together_yalm,0.5,0.26666666666666666,,0.26666666666666666,30,boolq
