model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
AlephAlpha_luminous-base,0.995,0.125,,0.125,200,mmlu
AlephAlpha_luminous-extended,0.995,0.525,,0.525,200,mmlu
AlephAlpha_luminous-supreme,0.995,0.725,,0.725,200,mmlu
ai21_j1-grande,0.995,0.08,,0.08,200,mmlu
ai21_j1-grande-v2-beta,0.995,0.87,,0.87,200,mmlu
ai21_j1-jumbo,0.995,0.095,,0.095,200,mmlu
ai21_j1-large,0.995,0.08,,0.08,200,mmlu
anthropic_stanford-online-all-v4-s3,0.995,0.985,,0.985,200,mmlu
cohere_command-medium-beta,0.995,0.775,,0.775,200,mmlu
cohere_command-xlarge-beta,0.995,0.975,,0.975,200,mmlu
cohere_large-20220720,0.995,0.38,,0.38,200,mmlu
cohere_medium-20220720,0.995,0.155,,0.155,200,mmlu
cohere_medium-20221108,0.995,0.14,,0.14,200,mmlu
cohere_small-20220720,0.995,0.2,,0.2,200,mmlu
cohere_xlarge-20220609,0.995,0.525,,0.525,200,mmlu
cohere_xlarge-20221108,0.995,0.725,,0.725,200,mmlu
microsoft_TNLGv2_530B,0.995,0.99,,0.99,200,mmlu
microsoft_TNLGv2_7B,0.995,0.135,,0.135,200,mmlu
openai_ada,0.995,0.025,,0.025,200,mmlu
openai_babbage,0.995,0.1,,0.1,200,mmlu
openai_curie,0.995,0.045,,0.045,200,mmlu
openai_davinci,0.995,0.85,,0.85,200,mmlu
openai_text-ada-001,0.995,0.02,,0.02,200,mmlu
openai_text-babbage-001,0.995,0.015,,0.015,200,mmlu
openai_text-curie-001,0.995,0.025,,0.025,200,mmlu
openai_text-davinci-002,0.995,0.985,,0.985,200,mmlu
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
AlephAlpha_luminous-base,0.995,0.125,,0.125,200,mmlu
AlephAlpha_luminous-extended,0.995,0.525,,0.525,200,mmlu
AlephAlpha_luminous-supreme,0.995,0.725,,0.725,200,mmlu
ai21_j1-grande,0.995,0.08,,0.08,200,mmlu
ai21_j1-grande-v2-beta,0.995,0.87,,0.87,200,mmlu
ai21_j1-jumbo,0.995,0.095,,0.095,200,mmlu
ai21_j1-large,0.995,0.08,,0.08,200,mmlu
anthropic_stanford-online-all-v4-s3,0.995,0.985,,0.985,200,mmlu
cohere_command-medium-beta,0.995,0.775,,0.775,200,mmlu
cohere_command-xlarge-beta,0.995,0.975,,0.975,200,mmlu
cohere_large-20220720,0.995,0.38,,0.38,200,mmlu
cohere_medium-20220720,0.995,0.155,,0.155,200,mmlu
cohere_medium-20221108,0.995,0.14,,0.14,200,mmlu
cohere_small-20220720,0.995,0.2,,0.2,200,mmlu
cohere_xlarge-20220609,0.995,0.525,,0.525,200,mmlu
cohere_xlarge-20221108,0.995,0.725,,0.725,200,mmlu
microsoft_TNLGv2_530B,0.995,0.99,,0.99,200,mmlu
microsoft_TNLGv2_7B,0.995,0.135,,0.135,200,mmlu
openai_ada,0.995,0.025,,0.025,200,mmlu
openai_babbage,0.995,0.1,,0.1,200,mmlu
openai_curie,0.995,0.045,,0.045,200,mmlu
openai_davinci,0.995,0.85,,0.85,200,mmlu
openai_text-ada-001,0.995,0.02,,0.02,200,mmlu
openai_text-babbage-001,0.995,0.015,,0.015,200,mmlu
openai_text-curie-001,0.995,0.025,,0.025,200,mmlu
openai_text-davinci-002,0.995,0.985,,0.985,200,mmlu
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
AlephAlpha_luminous-base,0.995,0.125,,0.125,200,mmlu
AlephAlpha_luminous-extended,0.995,0.525,,0.525,200,mmlu
AlephAlpha_luminous-supreme,0.995,0.725,,0.725,200,mmlu
ai21_j1-grande,0.995,0.08,,0.08,200,mmlu
ai21_j1-grande-v2-beta,0.995,0.87,,0.87,200,mmlu
ai21_j1-jumbo,0.995,0.095,,0.095,200,mmlu
ai21_j1-large,0.995,0.08,,0.08,200,mmlu
anthropic_stanford-online-all-v4-s3,0.995,0.985,,0.985,200,mmlu
cohere_command-medium-beta,0.995,0.775,,0.775,200,mmlu
cohere_command-xlarge-beta,0.995,0.975,,0.975,200,mmlu
cohere_large-20220720,0.995,0.38,,0.38,200,mmlu
cohere_medium-20220720,0.995,0.155,,0.155,200,mmlu
cohere_medium-20221108,0.995,0.14,,0.14,200,mmlu
cohere_small-20220720,0.995,0.2,,0.2,200,mmlu
cohere_xlarge-20220609,0.995,0.525,,0.525,200,mmlu
cohere_xlarge-20221108,0.995,0.725,,0.725,200,mmlu
microsoft_TNLGv2_530B,0.995,0.99,,0.99,200,mmlu
microsoft_TNLGv2_7B,0.995,0.135,,0.135,200,mmlu
openai_ada,0.995,0.025,,0.025,200,mmlu
openai_babbage,0.995,0.1,,0.1,200,mmlu
openai_curie,0.995,0.045,,0.045,200,mmlu
openai_davinci,0.995,0.85,,0.85,200,mmlu
openai_text-ada-001,0.995,0.02,,0.02,200,mmlu
openai_text-babbage-001,0.995,0.015,,0.015,200,mmlu
openai_text-curie-001,0.995,0.025,,0.025,200,mmlu
openai_text-davinci-002,0.995,0.985,,0.985,200,mmlu
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
AlephAlpha_luminous-base,0.995,0.125,,0.125,200,mmlu
AlephAlpha_luminous-extended,0.995,0.525,,0.525,200,mmlu
AlephAlpha_luminous-supreme,0.995,0.725,,0.725,200,mmlu
ai21_j1-grande,0.995,0.08,,0.08,200,mmlu
ai21_j1-grande-v2-beta,0.995,0.87,,0.87,200,mmlu
ai21_j1-jumbo,0.995,0.095,,0.095,200,mmlu
ai21_j1-large,0.995,0.08,,0.08,200,mmlu
anthropic_stanford-online-all-v4-s3,0.995,0.985,,0.985,200,mmlu
cohere_command-medium-beta,0.995,0.775,,0.775,200,mmlu
cohere_command-xlarge-beta,0.995,0.975,,0.975,200,mmlu
cohere_large-20220720,0.995,0.38,,0.38,200,mmlu
cohere_medium-20220720,0.995,0.155,,0.155,200,mmlu
cohere_medium-20221108,0.995,0.14,,0.14,200,mmlu
cohere_small-20220720,0.995,0.2,,0.2,200,mmlu
cohere_xlarge-20220609,0.995,0.525,,0.525,200,mmlu
cohere_xlarge-20221108,0.995,0.725,,0.725,200,mmlu
microsoft_TNLGv2_530B,0.995,0.99,,0.99,200,mmlu
microsoft_TNLGv2_7B,0.995,0.135,,0.135,200,mmlu
openai_ada,0.995,0.025,,0.025,200,mmlu
openai_babbage,0.995,0.1,,0.1,200,mmlu
openai_curie,0.995,0.045,,0.045,200,mmlu
openai_davinci,0.995,0.85,,0.85,200,mmlu
openai_text-ada-001,0.995,0.02,,0.02,200,mmlu
openai_text-babbage-001,0.995,0.015,,0.015,200,mmlu
openai_text-curie-001,0.995,0.025,,0.025,200,mmlu
openai_text-davinci-002,0.995,0.985,,0.985,200,mmlu
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
AlephAlpha_luminous-base,0.995,0.125,,0.125,200,mmlu
AlephAlpha_luminous-extended,0.995,0.525,,0.525,200,mmlu
AlephAlpha_luminous-supreme,0.995,0.725,,0.725,200,mmlu
ai21_j1-grande,0.995,0.08,,0.08,200,mmlu
ai21_j1-grande-v2-beta,0.995,0.87,,0.87,200,mmlu
ai21_j1-jumbo,0.995,0.095,,0.095,200,mmlu
ai21_j1-large,0.995,0.08,,0.08,200,mmlu
anthropic_stanford-online-all-v4-s3,0.995,0.985,,0.985,200,mmlu
cohere_command-medium-beta,0.995,0.775,,0.775,200,mmlu
cohere_command-xlarge-beta,0.995,0.975,,0.975,200,mmlu
cohere_large-20220720,0.995,0.38,,0.38,200,mmlu
cohere_medium-20220720,0.995,0.155,,0.155,200,mmlu
cohere_medium-20221108,0.995,0.14,,0.14,200,mmlu
cohere_small-20220720,0.995,0.2,,0.2,200,mmlu
cohere_xlarge-20220609,0.995,0.525,,0.525,200,mmlu
cohere_xlarge-20221108,0.995,0.725,,0.725,200,mmlu
microsoft_TNLGv2_530B,0.995,0.99,,0.99,200,mmlu
microsoft_TNLGv2_7B,0.995,0.135,,0.135,200,mmlu
openai_ada,0.995,0.025,,0.025,200,mmlu
openai_babbage,0.995,0.1,,0.1,200,mmlu
openai_curie,0.995,0.045,,0.045,200,mmlu
openai_davinci,0.995,0.85,,0.85,200,mmlu
openai_text-ada-001,0.995,0.02,,0.02,200,mmlu
openai_text-babbage-001,0.995,0.015,,0.015,200,mmlu
openai_text-curie-001,0.995,0.025,,0.025,200,mmlu
openai_text-davinci-002,0.995,0.985,,0.985,200,mmlu
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
AlephAlpha_luminous-base,0.995,0.125,,0.125,200,mmlu
AlephAlpha_luminous-extended,0.995,0.525,,0.525,200,mmlu
AlephAlpha_luminous-supreme,0.995,0.725,,0.725,200,mmlu
ai21_j1-grande,0.995,0.08,,0.08,200,mmlu
ai21_j1-grande-v2-beta,0.995,0.87,,0.87,200,mmlu
ai21_j1-jumbo,0.995,0.095,,0.095,200,mmlu
ai21_j1-large,0.995,0.08,,0.08,200,mmlu
anthropic_stanford-online-all-v4-s3,0.995,0.985,,0.985,200,mmlu
cohere_command-medium-beta,0.995,0.775,,0.775,200,mmlu
cohere_command-xlarge-beta,0.995,0.975,,0.975,200,mmlu
cohere_large-20220720,0.995,0.38,,0.38,200,mmlu
cohere_medium-20220720,0.995,0.155,,0.155,200,mmlu
cohere_medium-20221108,0.995,0.14,,0.14,200,mmlu
cohere_small-20220720,0.995,0.2,,0.2,200,mmlu
cohere_xlarge-20220609,0.995,0.525,,0.525,200,mmlu
cohere_xlarge-20221108,0.995,0.725,,0.725,200,mmlu
microsoft_TNLGv2_530B,0.995,0.99,,0.99,200,mmlu
microsoft_TNLGv2_7B,0.995,0.135,,0.135,200,mmlu
openai_ada,0.995,0.025,,0.025,200,mmlu
openai_babbage,0.995,0.1,,0.1,200,mmlu
openai_curie,0.995,0.045,,0.045,200,mmlu
openai_davinci,0.995,0.85,,0.85,200,mmlu
openai_text-ada-001,0.995,0.02,,0.02,200,mmlu
openai_text-babbage-001,0.995,0.015,,0.015,200,mmlu
openai_text-curie-001,0.995,0.025,,0.025,200,mmlu
openai_text-davinci-002,0.995,0.985,,0.985,200,mmlu
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
AlephAlpha_luminous-base,0.995,0.125,,0.125,200,mmlu
AlephAlpha_luminous-extended,0.995,0.525,,0.525,200,mmlu
AlephAlpha_luminous-supreme,0.995,0.725,,0.725,200,mmlu
ai21_j1-grande,0.995,0.08,,0.08,200,mmlu
ai21_j1-grande-v2-beta,0.995,0.87,,0.87,200,mmlu
ai21_j1-jumbo,0.995,0.095,,0.095,200,mmlu
ai21_j1-large,0.995,0.08,,0.08,200,mmlu
anthropic_stanford-online-all-v4-s3,0.995,0.985,,0.985,200,mmlu
cohere_command-medium-beta,0.995,0.775,,0.775,200,mmlu
cohere_command-xlarge-beta,0.995,0.975,,0.975,200,mmlu
cohere_large-20220720,0.995,0.38,,0.38,200,mmlu
cohere_medium-20220720,0.995,0.155,,0.155,200,mmlu
cohere_medium-20221108,0.995,0.14,,0.14,200,mmlu
cohere_small-20220720,0.995,0.2,,0.2,200,mmlu
cohere_xlarge-20220609,0.995,0.525,,0.525,200,mmlu
cohere_xlarge-20221108,0.995,0.725,,0.725,200,mmlu
microsoft_TNLGv2_530B,0.995,0.99,,0.99,200,mmlu
microsoft_TNLGv2_7B,0.995,0.135,,0.135,200,mmlu
openai_ada,0.995,0.025,,0.025,200,mmlu
openai_babbage,0.995,0.1,,0.1,200,mmlu
openai_curie,0.995,0.045,,0.045,200,mmlu
openai_davinci,0.995,0.85,,0.85,200,mmlu
openai_text-ada-001,0.995,0.02,,0.02,200,mmlu
openai_text-babbage-001,0.995,0.015,,0.015,200,mmlu
openai_text-curie-001,0.995,0.025,,0.025,200,mmlu
openai_text-davinci-002,0.995,0.985,,0.985,200,mmlu
openai_text-davinci-003,0.995,0.99,,0.99,200,mmlu
together_bloom,0.995,0.175,,0.175,200,mmlu
together_glm,0.995,0.615,,0.615,200,mmlu
together_gpt-j-6b,0.995,0.055,,0.055,200,mmlu
together_gpt-neox-20b,0.995,0.145,,0.145,200,mmlu
together_opt-175b,0.995,0.285,,0.285,200,mmlu
together_opt-66b,0.995,0.32,,0.32,200,mmlu
together_t0pp,0.995,0.78,,0.78,200,mmlu
together_t5-11b,0.995,0.465,,0.465,200,mmlu
together_ul2,0.995,0.345,,0.345,200,mmlu
together_yalm,0.995,0.03,,0.03,200,mmlu
