model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
cohere_medium-20220720,0.98,0.4350803241576656,,0.4350803241576656,100,quac
cohere_medium-20221108,0.98,0.5678613281542997,,0.5678613281542997,100,quac
cohere_small-20220720,0.98,0.24917776382766255,,0.24917776382766255,100,quac
cohere_xlarge-20220609,0.98,0.7321888160266243,,0.7321888160266243,100,quac
cohere_xlarge-20221108,0.98,0.830762792623392,,0.830762792623392,100,quac
microsoft_TNLGv2_530B,0.98,0.8240818627044887,,0.8240818627044887,100,quac
microsoft_TNLGv2_7B,0.98,0.6214635745166545,,0.6214635745166545,100,quac
openai_ada,0.98,0.3141967868333493,,0.3141967868333493,100,quac
openai_babbage,0.98,0.42008035495973045,,0.42008035495973045,100,quac
openai_curie,0.98,0.5279338640682224,,0.5279338640682224,100,quac
openai_davinci,0.98,0.7337238821809631,,0.7337238821809631,100,quac
openai_text-ada-001,0.98,0.14689616274077857,,0.14689616274077857,100,quac
openai_text-babbage-001,0.98,0.3873394930926338,,0.3873394930926338,100,quac
openai_text-curie-001,0.98,0.728679241294783,,0.728679241294783,100,quac
openai_text-davinci-002,0.98,0.8931217110778584,,0.8931217110778584,100,quac
openai_text-davinci-003,0.98,0.9324966223889483,,0.9324966223889483,100,quac
together_bloom,0.98,0.7160252436706085,,0.7160252436706085,100,quac
together_glm,0.98,0.4143272449879266,,0.4143272449879266,100,quac
together_gpt-j-6b,0.98,0.6067011586751103,,0.6067011586751103,100,quac
together_gpt-neox-20b,0.98,0.574784343298655,,0.574784343298655,100,quac
together_opt-175b,0.98,0.7763738352799255,,0.7763738352799255,100,quac
together_opt-66b,0.98,0.6721054750445865,,0.6721054750445865,100,quac
together_t0pp,0.98,0.06976144057716727,,0.06976144057716727,100,quac
together_t5-11b,0.98,0.06634893937812855,,0.06634893937812855,100,quac
together_ul2,0.98,0.07711362282815432,,0.07711362282815432,100,quac
together_yalm,0.98,0.1440269083392667,,0.1440269083392667,100,quac
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
cohere_medium-20220720,0.98,0.4350803241576656,,0.4350803241576656,100,quac
cohere_medium-20221108,0.98,0.5678613281542997,,0.5678613281542997,100,quac
cohere_small-20220720,0.98,0.24917776382766255,,0.24917776382766255,100,quac
cohere_xlarge-20220609,0.98,0.7321888160266243,,0.7321888160266243,100,quac
cohere_xlarge-20221108,0.98,0.830762792623392,,0.830762792623392,100,quac
microsoft_TNLGv2_530B,0.98,0.8240818627044887,,0.8240818627044887,100,quac
microsoft_TNLGv2_7B,0.98,0.6214635745166545,,0.6214635745166545,100,quac
openai_ada,0.98,0.3141967868333493,,0.3141967868333493,100,quac
openai_babbage,0.98,0.42008035495973045,,0.42008035495973045,100,quac
openai_curie,0.98,0.5279338640682224,,0.5279338640682224,100,quac
openai_davinci,0.98,0.7337238821809631,,0.7337238821809631,100,quac
openai_text-ada-001,0.98,0.14689616274077857,,0.14689616274077857,100,quac
openai_text-babbage-001,0.98,0.3873394930926338,,0.3873394930926338,100,quac
openai_text-curie-001,0.98,0.728679241294783,,0.728679241294783,100,quac
openai_text-davinci-002,0.98,0.8931217110778584,,0.8931217110778584,100,quac
openai_text-davinci-003,0.98,0.9324966223889483,,0.9324966223889483,100,quac
together_bloom,0.98,0.7160252436706085,,0.7160252436706085,100,quac
together_glm,0.98,0.4143272449879266,,0.4143272449879266,100,quac
together_gpt-j-6b,0.98,0.6067011586751103,,0.6067011586751103,100,quac
together_gpt-neox-20b,0.98,0.574784343298655,,0.574784343298655,100,quac
together_opt-175b,0.98,0.7763738352799255,,0.7763738352799255,100,quac
together_opt-66b,0.98,0.6721054750445865,,0.6721054750445865,100,quac
together_t0pp,0.98,0.06976144057716727,,0.06976144057716727,100,quac
together_t5-11b,0.98,0.06634893937812855,,0.06634893937812855,100,quac
together_ul2,0.98,0.07711362282815432,,0.07711362282815432,100,quac
together_yalm,0.98,0.1440269083392667,,0.1440269083392667,100,quac
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
cohere_medium-20220720,0.98,0.4350803241576656,,0.4350803241576656,100,quac
cohere_medium-20221108,0.98,0.5678613281542997,,0.5678613281542997,100,quac
cohere_small-20220720,0.98,0.24917776382766255,,0.24917776382766255,100,quac
cohere_xlarge-20220609,0.98,0.7321888160266243,,0.7321888160266243,100,quac
cohere_xlarge-20221108,0.98,0.830762792623392,,0.830762792623392,100,quac
microsoft_TNLGv2_530B,0.98,0.8240818627044887,,0.8240818627044887,100,quac
microsoft_TNLGv2_7B,0.98,0.6214635745166545,,0.6214635745166545,100,quac
openai_ada,0.98,0.3141967868333493,,0.3141967868333493,100,quac
openai_babbage,0.98,0.42008035495973045,,0.42008035495973045,100,quac
openai_curie,0.98,0.5279338640682224,,0.5279338640682224,100,quac
openai_davinci,0.98,0.7337238821809631,,0.7337238821809631,100,quac
openai_text-ada-001,0.98,0.14689616274077857,,0.14689616274077857,100,quac
openai_text-babbage-001,0.98,0.3873394930926338,,0.3873394930926338,100,quac
openai_text-curie-001,0.98,0.728679241294783,,0.728679241294783,100,quac
openai_text-davinci-002,0.98,0.8931217110778584,,0.8931217110778584,100,quac
openai_text-davinci-003,0.98,0.9324966223889483,,0.9324966223889483,100,quac
together_bloom,0.98,0.7160252436706085,,0.7160252436706085,100,quac
together_glm,0.98,0.4143272449879266,,0.4143272449879266,100,quac
together_gpt-j-6b,0.98,0.6067011586751103,,0.6067011586751103,100,quac
together_gpt-neox-20b,0.98,0.574784343298655,,0.574784343298655,100,quac
together_opt-175b,0.98,0.7763738352799255,,0.7763738352799255,100,quac
together_opt-66b,0.98,0.6721054750445865,,0.6721054750445865,100,quac
together_t0pp,0.98,0.06976144057716727,,0.06976144057716727,100,quac
together_t5-11b,0.98,0.06634893937812855,,0.06634893937812855,100,quac
together_ul2,0.98,0.07711362282815432,,0.07711362282815432,100,quac
together_yalm,0.98,0.1440269083392667,,0.1440269083392667,100,quac
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
cohere_medium-20220720,0.98,0.4350803241576656,,0.4350803241576656,100,quac
cohere_medium-20221108,0.98,0.5678613281542997,,0.5678613281542997,100,quac
cohere_small-20220720,0.98,0.24917776382766255,,0.24917776382766255,100,quac
cohere_xlarge-20220609,0.98,0.7321888160266243,,0.7321888160266243,100,quac
cohere_xlarge-20221108,0.98,0.830762792623392,,0.830762792623392,100,quac
microsoft_TNLGv2_530B,0.98,0.8240818627044887,,0.8240818627044887,100,quac
microsoft_TNLGv2_7B,0.98,0.6214635745166545,,0.6214635745166545,100,quac
openai_ada,0.98,0.3141967868333493,,0.3141967868333493,100,quac
openai_babbage,0.98,0.42008035495973045,,0.42008035495973045,100,quac
openai_curie,0.98,0.5279338640682224,,0.5279338640682224,100,quac
openai_davinci,0.98,0.7337238821809631,,0.7337238821809631,100,quac
openai_text-ada-001,0.98,0.14689616274077857,,0.14689616274077857,100,quac
openai_text-babbage-001,0.98,0.3873394930926338,,0.3873394930926338,100,quac
openai_text-curie-001,0.98,0.728679241294783,,0.728679241294783,100,quac
openai_text-davinci-002,0.98,0.8931217110778584,,0.8931217110778584,100,quac
openai_text-davinci-003,0.98,0.9324966223889483,,0.9324966223889483,100,quac
together_bloom,0.98,0.7160252436706085,,0.7160252436706085,100,quac
together_glm,0.98,0.4143272449879266,,0.4143272449879266,100,quac
together_gpt-j-6b,0.98,0.6067011586751103,,0.6067011586751103,100,quac
together_gpt-neox-20b,0.98,0.574784343298655,,0.574784343298655,100,quac
together_opt-175b,0.98,0.7763738352799255,,0.7763738352799255,100,quac
together_opt-66b,0.98,0.6721054750445865,,0.6721054750445865,100,quac
together_t0pp,0.98,0.06976144057716727,,0.06976144057716727,100,quac
together_t5-11b,0.98,0.06634893937812855,,0.06634893937812855,100,quac
together_ul2,0.98,0.07711362282815432,,0.07711362282815432,100,quac
together_yalm,0.98,0.1440269083392667,,0.1440269083392667,100,quac
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
cohere_medium-20220720,0.98,0.4350803241576656,,0.4350803241576656,100,quac
cohere_medium-20221108,0.98,0.5678613281542997,,0.5678613281542997,100,quac
cohere_small-20220720,0.98,0.24917776382766255,,0.24917776382766255,100,quac
cohere_xlarge-20220609,0.98,0.7321888160266243,,0.7321888160266243,100,quac
cohere_xlarge-20221108,0.98,0.830762792623392,,0.830762792623392,100,quac
microsoft_TNLGv2_530B,0.98,0.8240818627044887,,0.8240818627044887,100,quac
microsoft_TNLGv2_7B,0.98,0.6214635745166545,,0.6214635745166545,100,quac
openai_ada,0.98,0.3141967868333493,,0.3141967868333493,100,quac
openai_babbage,0.98,0.42008035495973045,,0.42008035495973045,100,quac
openai_curie,0.98,0.5279338640682224,,0.5279338640682224,100,quac
openai_davinci,0.98,0.7337238821809631,,0.7337238821809631,100,quac
openai_text-ada-001,0.98,0.14689616274077857,,0.14689616274077857,100,quac
openai_text-babbage-001,0.98,0.3873394930926338,,0.3873394930926338,100,quac
openai_text-curie-001,0.98,0.728679241294783,,0.728679241294783,100,quac
openai_text-davinci-002,0.98,0.8931217110778584,,0.8931217110778584,100,quac
openai_text-davinci-003,0.98,0.9324966223889483,,0.9324966223889483,100,quac
together_bloom,0.98,0.7160252436706085,,0.7160252436706085,100,quac
together_glm,0.98,0.4143272449879266,,0.4143272449879266,100,quac
together_gpt-j-6b,0.98,0.6067011586751103,,0.6067011586751103,100,quac
together_gpt-neox-20b,0.98,0.574784343298655,,0.574784343298655,100,quac
together_opt-175b,0.98,0.7763738352799255,,0.7763738352799255,100,quac
together_opt-66b,0.98,0.6721054750445865,,0.6721054750445865,100,quac
together_t0pp,0.98,0.06976144057716727,,0.06976144057716727,100,quac
together_t5-11b,0.98,0.06634893937812855,,0.06634893937812855,100,quac
together_ul2,0.98,0.07711362282815432,,0.07711362282815432,100,quac
together_yalm,0.98,0.1440269083392667,,0.1440269083392667,100,quac
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
cohere_medium-20220720,0.98,0.4350803241576656,,0.4350803241576656,100,quac
cohere_medium-20221108,0.98,0.5678613281542997,,0.5678613281542997,100,quac
cohere_small-20220720,0.98,0.24917776382766255,,0.24917776382766255,100,quac
cohere_xlarge-20220609,0.98,0.7321888160266243,,0.7321888160266243,100,quac
cohere_xlarge-20221108,0.98,0.830762792623392,,0.830762792623392,100,quac
microsoft_TNLGv2_530B,0.98,0.8240818627044887,,0.8240818627044887,100,quac
microsoft_TNLGv2_7B,0.98,0.6214635745166545,,0.6214635745166545,100,quac
openai_ada,0.98,0.3141967868333493,,0.3141967868333493,100,quac
openai_babbage,0.98,0.42008035495973045,,0.42008035495973045,100,quac
openai_curie,0.98,0.5279338640682224,,0.5279338640682224,100,quac
openai_davinci,0.98,0.7337238821809631,,0.7337238821809631,100,quac
openai_text-ada-001,0.98,0.14689616274077857,,0.14689616274077857,100,quac
openai_text-babbage-001,0.98,0.3873394930926338,,0.3873394930926338,100,quac
openai_text-curie-001,0.98,0.728679241294783,,0.728679241294783,100,quac
openai_text-davinci-002,0.98,0.8931217110778584,,0.8931217110778584,100,quac
openai_text-davinci-003,0.98,0.9324966223889483,,0.9324966223889483,100,quac
together_bloom,0.98,0.7160252436706085,,0.7160252436706085,100,quac
together_glm,0.98,0.4143272449879266,,0.4143272449879266,100,quac
together_gpt-j-6b,0.98,0.6067011586751103,,0.6067011586751103,100,quac
together_gpt-neox-20b,0.98,0.574784343298655,,0.574784343298655,100,quac
together_opt-175b,0.98,0.7763738352799255,,0.7763738352799255,100,quac
together_opt-66b,0.98,0.6721054750445865,,0.6721054750445865,100,quac
together_t0pp,0.98,0.06976144057716727,,0.06976144057716727,100,quac
together_t5-11b,0.98,0.06634893937812855,,0.06634893937812855,100,quac
together_ul2,0.98,0.07711362282815432,,0.07711362282815432,100,quac
together_yalm,0.98,0.1440269083392667,,0.1440269083392667,100,quac
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
cohere_medium-20220720,0.98,0.4350803241576656,,0.4350803241576656,100,quac
cohere_medium-20221108,0.98,0.5678613281542997,,0.5678613281542997,100,quac
cohere_small-20220720,0.98,0.24917776382766255,,0.24917776382766255,100,quac
cohere_xlarge-20220609,0.98,0.7321888160266243,,0.7321888160266243,100,quac
cohere_xlarge-20221108,0.98,0.830762792623392,,0.830762792623392,100,quac
microsoft_TNLGv2_530B,0.98,0.8240818627044887,,0.8240818627044887,100,quac
microsoft_TNLGv2_7B,0.98,0.6214635745166545,,0.6214635745166545,100,quac
openai_ada,0.98,0.3141967868333493,,0.3141967868333493,100,quac
openai_babbage,0.98,0.42008035495973045,,0.42008035495973045,100,quac
openai_curie,0.98,0.5279338640682224,,0.5279338640682224,100,quac
openai_davinci,0.98,0.7337238821809631,,0.7337238821809631,100,quac
openai_text-ada-001,0.98,0.14689616274077857,,0.14689616274077857,100,quac
openai_text-babbage-001,0.98,0.3873394930926338,,0.3873394930926338,100,quac
openai_text-curie-001,0.98,0.728679241294783,,0.728679241294783,100,quac
openai_text-davinci-002,0.98,0.8931217110778584,,0.8931217110778584,100,quac
openai_text-davinci-003,0.98,0.9324966223889483,,0.9324966223889483,100,quac
together_bloom,0.98,0.7160252436706085,,0.7160252436706085,100,quac
together_glm,0.98,0.4143272449879266,,0.4143272449879266,100,quac
together_gpt-j-6b,0.98,0.6067011586751103,,0.6067011586751103,100,quac
together_gpt-neox-20b,0.98,0.574784343298655,,0.574784343298655,100,quac
together_opt-175b,0.98,0.7763738352799255,,0.7763738352799255,100,quac
together_opt-66b,0.98,0.6721054750445865,,0.6721054750445865,100,quac
together_t0pp,0.98,0.06976144057716727,,0.06976144057716727,100,quac
together_t5-11b,0.98,0.06634893937812855,,0.06634893937812855,100,quac
together_ul2,0.98,0.07711362282815432,,0.07711362282815432,100,quac
together_yalm,0.98,0.1440269083392667,,0.1440269083392667,100,quac
AlephAlpha_luminous-base,0.98,0.6182016184133804,,0.6182016184133804,100,quac
AlephAlpha_luminous-extended,0.98,0.7050691910428752,,0.7050691910428752,100,quac
AlephAlpha_luminous-supreme,0.98,0.8050768615913616,,0.8050768615913616,100,quac
ai21_j1-grande,0.98,0.8109615411055172,,0.8109615411055172,100,quac
ai21_j1-grande-v2-beta,0.98,0.8456277723079011,,0.8456277723079011,100,quac
ai21_j1-jumbo,0.98,0.7532197408456563,,0.7532197408456563,100,quac
ai21_j1-large,0.98,0.5827034898376714,,0.5827034898376714,100,quac
anthropic_stanford-online-all-v4-s3,0.98,0.8011005909592628,,0.8011005909592628,100,quac
cohere_command-medium-beta,0.98,0.770753234673823,,0.770753234673823,100,quac
cohere_command-xlarge-beta,0.98,0.869368475430486,,0.869368475430486,100,quac
cohere_large-20220720,0.98,0.5966061570507655,,0.5966061570507655,100,quac
