model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
ai21_j1-grande,0.0,0.78,,0.78,50,hellaswag
ai21_j1-grande-v2-beta,0.0,0.86,,0.86,50,hellaswag
ai21_j1-jumbo,0.0,0.88,,0.88,50,hellaswag
ai21_j1-large,0.0,0.58,,0.58,50,hellaswag
anthropic_stanford-online-all-v4-s3,0.0,0.96,,0.96,50,hellaswag
cohere_command-medium-beta,0.0,0.84,,0.84,50,hellaswag
cohere_command-xlarge-beta,0.0,1.0,,1.0,50,hellaswag
cohere_large-20220720,0.0,0.74,,0.74,50,hellaswag
cohere_medium-20220720,0.0,0.54,,0.54,50,hellaswag
cohere_medium-20221108,0.0,0.62,,0.62,50,hellaswag
cohere_small-20220720,0.0,0.0,,0.0,50,hellaswag
cohere_xlarge-20220609,0.0,1.0,,1.0,50,hellaswag
cohere_xlarge-20221108,0.0,1.0,,1.0,50,hellaswag
microsoft_TNLGv2_530B,0.0,0.98,,0.98,50,hellaswag
microsoft_TNLGv2_7B,0.0,0.5,,0.5,50,hellaswag
openai_ada,0.0,0.0,,0.0,50,hellaswag
openai_babbage,0.0,0.0,,0.0,50,hellaswag
openai_curie,0.0,0.28,,0.28,50,hellaswag
openai_davinci,0.0,0.88,,0.88,50,hellaswag
openai_text-ada-001,0.0,0.02,,0.02,50,hellaswag
openai_text-babbage-001,0.0,0.02,,0.02,50,hellaswag
openai_text-curie-001,0.0,0.2,,0.2,50,hellaswag
openai_text-davinci-002,0.0,0.94,,0.94,50,hellaswag
openai_text-davinci-003,0.0,0.98,,0.98,50,hellaswag
together_bloom,0.0,0.72,,0.72,50,hellaswag
together_gpt-j-6b,0.0,0.18,,0.18,50,hellaswag
together_gpt-neox-20b,0.0,0.58,,0.58,50,hellaswag
together_opt-175b,0.0,0.88,,0.88,50,hellaswag
together_opt-66b,0.0,0.76,,0.76,50,hellaswag
