model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
together_t5-11b,0.96,0.46654408064904956,,0.46654408064904956,350,natural_qa:mode=openbook
together_ul2,0.96,0.29497972176555953,,0.29497972176555953,350,natural_qa:mode=openbook
together_yalm,0.96,0.12215721263693523,,0.12215721263693523,350,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.96,0.7502966466195758,,0.7502966466195758,350,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.96,0.8401466412389705,,0.8401466412389705,350,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.96,0.8997210884353741,,0.8997210884353741,350,natural_qa:mode=openbook
ai21_j1-grande,0.96,0.775632183908046,,0.775632183908046,350,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.96,0.9001016919588348,,0.9001016919588348,350,natural_qa:mode=openbook
ai21_j1-jumbo,0.96,0.8381791383219955,,0.8381791383219955,350,natural_qa:mode=openbook
ai21_j1-large,0.96,0.6570007135721422,,0.6570007135721422,350,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.96,0.9156145600431316,,0.9156145600431316,350,natural_qa:mode=openbook
cohere_command-medium-beta,0.96,0.9563010147746989,,0.9563010147746989,350,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.96,0.9657650444793303,,0.9657650444793303,350,natural_qa:mode=openbook
cohere_large-20220720,0.96,0.7395060934674503,,0.7395060934674503,350,natural_qa:mode=openbook
cohere_medium-20220720,0.96,0.5149360262418328,,0.5149360262418328,350,natural_qa:mode=openbook
cohere_medium-20221108,0.96,0.6077871567922719,,0.6077871567922719,350,natural_qa:mode=openbook
cohere_small-20220720,0.96,0.12640078939543994,,0.12640078939543994,350,natural_qa:mode=openbook
cohere_xlarge-20220609,0.96,0.8139103802201324,,0.8139103802201324,350,natural_qa:mode=openbook
cohere_xlarge-20221108,0.96,0.87962740434169,,0.87962740434169,350,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.96,0.8943729128014843,,0.8943729128014843,350,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.96,0.7092376133183587,,0.7092376133183587,350,natural_qa:mode=openbook
openai_ada,0.96,0.18942385035531284,,0.18942385035531284,350,natural_qa:mode=openbook
openai_babbage,0.96,0.34882287945402857,,0.34882287945402857,350,natural_qa:mode=openbook
openai_curie,0.96,0.6623009028346875,,0.6623009028346875,350,natural_qa:mode=openbook
openai_davinci,0.96,0.8738796743577814,,0.8738796743577814,350,natural_qa:mode=openbook
openai_text-ada-001,0.96,0.015430820432700132,,0.015430820432700132,350,natural_qa:mode=openbook
openai_text-babbage-001,0.96,0.18195617502797953,,0.18195617502797953,350,natural_qa:mode=openbook
openai_text-curie-001,0.96,0.7248466181221599,,0.7248466181221599,350,natural_qa:mode=openbook
openai_text-davinci-002,0.96,0.9286964939822082,,0.9286964939822082,350,natural_qa:mode=openbook
openai_text-davinci-003,0.96,0.9585538105786553,,0.9585538105786553,350,natural_qa:mode=openbook
together_bloom,0.96,0.867533276247562,,0.867533276247562,350,natural_qa:mode=openbook
together_glm,0.96,0.8571391122105407,,0.8571391122105407,350,natural_qa:mode=openbook
together_gpt-j-6b,0.96,0.6432744190675225,,0.6432744190675225,350,natural_qa:mode=openbook
together_gpt-neox-20b,0.96,0.8238064950922094,,0.8238064950922094,350,natural_qa:mode=openbook
together_opt-175b,0.96,0.8687217068645641,,0.8687217068645641,350,natural_qa:mode=openbook
together_opt-66b,0.96,0.8366720707732243,,0.8366720707732243,350,natural_qa:mode=openbook
together_t0pp,0.96,0.1863813725827585,,0.1863813725827585,350,natural_qa:mode=openbook
together_t5-11b,0.96,0.46654408064904956,,0.46654408064904956,350,natural_qa:mode=openbook
together_ul2,0.96,0.29497972176555953,,0.29497972176555953,350,natural_qa:mode=openbook
together_yalm,0.96,0.12215721263693523,,0.12215721263693523,350,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.96,0.7502966466195758,,0.7502966466195758,350,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.96,0.8401466412389705,,0.8401466412389705,350,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.96,0.8997210884353741,,0.8997210884353741,350,natural_qa:mode=openbook
ai21_j1-grande,0.96,0.775632183908046,,0.775632183908046,350,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.96,0.9001016919588348,,0.9001016919588348,350,natural_qa:mode=openbook
ai21_j1-jumbo,0.96,0.8381791383219955,,0.8381791383219955,350,natural_qa:mode=openbook
ai21_j1-large,0.96,0.6570007135721422,,0.6570007135721422,350,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.96,0.9156145600431316,,0.9156145600431316,350,natural_qa:mode=openbook
cohere_command-medium-beta,0.96,0.9563010147746989,,0.9563010147746989,350,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.96,0.9657650444793303,,0.9657650444793303,350,natural_qa:mode=openbook
cohere_large-20220720,0.96,0.7395060934674503,,0.7395060934674503,350,natural_qa:mode=openbook
cohere_medium-20220720,0.96,0.5149360262418328,,0.5149360262418328,350,natural_qa:mode=openbook
cohere_medium-20221108,0.96,0.6077871567922719,,0.6077871567922719,350,natural_qa:mode=openbook
cohere_small-20220720,0.96,0.12640078939543994,,0.12640078939543994,350,natural_qa:mode=openbook
cohere_xlarge-20220609,0.96,0.8139103802201324,,0.8139103802201324,350,natural_qa:mode=openbook
cohere_xlarge-20221108,0.96,0.87962740434169,,0.87962740434169,350,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.96,0.8943729128014843,,0.8943729128014843,350,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.96,0.7092376133183587,,0.7092376133183587,350,natural_qa:mode=openbook
openai_ada,0.96,0.18942385035531284,,0.18942385035531284,350,natural_qa:mode=openbook
openai_babbage,0.96,0.34882287945402857,,0.34882287945402857,350,natural_qa:mode=openbook
openai_curie,0.96,0.6623009028346875,,0.6623009028346875,350,natural_qa:mode=openbook
openai_davinci,0.96,0.8738796743577814,,0.8738796743577814,350,natural_qa:mode=openbook
openai_text-ada-001,0.96,0.015430820432700132,,0.015430820432700132,350,natural_qa:mode=openbook
openai_text-babbage-001,0.96,0.18195617502797953,,0.18195617502797953,350,natural_qa:mode=openbook
openai_text-curie-001,0.96,0.7248466181221599,,0.7248466181221599,350,natural_qa:mode=openbook
openai_text-davinci-002,0.96,0.9286964939822082,,0.9286964939822082,350,natural_qa:mode=openbook
openai_text-davinci-003,0.96,0.9585538105786553,,0.9585538105786553,350,natural_qa:mode=openbook
together_bloom,0.96,0.867533276247562,,0.867533276247562,350,natural_qa:mode=openbook
together_glm,0.96,0.8571391122105407,,0.8571391122105407,350,natural_qa:mode=openbook
together_gpt-j-6b,0.96,0.6432744190675225,,0.6432744190675225,350,natural_qa:mode=openbook
together_gpt-neox-20b,0.96,0.8238064950922094,,0.8238064950922094,350,natural_qa:mode=openbook
together_opt-175b,0.96,0.8687217068645641,,0.8687217068645641,350,natural_qa:mode=openbook
together_opt-66b,0.96,0.8366720707732243,,0.8366720707732243,350,natural_qa:mode=openbook
together_t0pp,0.96,0.1863813725827585,,0.1863813725827585,350,natural_qa:mode=openbook
together_t5-11b,0.96,0.46654408064904956,,0.46654408064904956,350,natural_qa:mode=openbook
together_ul2,0.96,0.29497972176555953,,0.29497972176555953,350,natural_qa:mode=openbook
together_yalm,0.96,0.12215721263693523,,0.12215721263693523,350,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.96,0.7502966466195758,,0.7502966466195758,350,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.96,0.8401466412389705,,0.8401466412389705,350,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.96,0.8997210884353741,,0.8997210884353741,350,natural_qa:mode=openbook
ai21_j1-grande,0.96,0.775632183908046,,0.775632183908046,350,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.96,0.9001016919588348,,0.9001016919588348,350,natural_qa:mode=openbook
ai21_j1-jumbo,0.96,0.8381791383219955,,0.8381791383219955,350,natural_qa:mode=openbook
ai21_j1-large,0.96,0.6570007135721422,,0.6570007135721422,350,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.96,0.9156145600431316,,0.9156145600431316,350,natural_qa:mode=openbook
cohere_command-medium-beta,0.96,0.9563010147746989,,0.9563010147746989,350,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.96,0.9657650444793303,,0.9657650444793303,350,natural_qa:mode=openbook
cohere_large-20220720,0.96,0.7395060934674503,,0.7395060934674503,350,natural_qa:mode=openbook
cohere_medium-20220720,0.96,0.5149360262418328,,0.5149360262418328,350,natural_qa:mode=openbook
cohere_medium-20221108,0.96,0.6077871567922719,,0.6077871567922719,350,natural_qa:mode=openbook
cohere_small-20220720,0.96,0.12640078939543994,,0.12640078939543994,350,natural_qa:mode=openbook
cohere_xlarge-20220609,0.96,0.8139103802201324,,0.8139103802201324,350,natural_qa:mode=openbook
cohere_xlarge-20221108,0.96,0.87962740434169,,0.87962740434169,350,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.96,0.8943729128014843,,0.8943729128014843,350,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.96,0.7092376133183587,,0.7092376133183587,350,natural_qa:mode=openbook
openai_ada,0.96,0.18942385035531284,,0.18942385035531284,350,natural_qa:mode=openbook
openai_babbage,0.96,0.34882287945402857,,0.34882287945402857,350,natural_qa:mode=openbook
openai_curie,0.96,0.6623009028346875,,0.6623009028346875,350,natural_qa:mode=openbook
openai_davinci,0.96,0.8738796743577814,,0.8738796743577814,350,natural_qa:mode=openbook
openai_text-ada-001,0.96,0.015430820432700132,,0.015430820432700132,350,natural_qa:mode=openbook
openai_text-babbage-001,0.96,0.18195617502797953,,0.18195617502797953,350,natural_qa:mode=openbook
openai_text-curie-001,0.96,0.7248466181221599,,0.7248466181221599,350,natural_qa:mode=openbook
openai_text-davinci-002,0.96,0.9286964939822082,,0.9286964939822082,350,natural_qa:mode=openbook
openai_text-davinci-003,0.96,0.9585538105786553,,0.9585538105786553,350,natural_qa:mode=openbook
together_bloom,0.96,0.867533276247562,,0.867533276247562,350,natural_qa:mode=openbook
together_glm,0.96,0.8571391122105407,,0.8571391122105407,350,natural_qa:mode=openbook
together_gpt-j-6b,0.96,0.6432744190675225,,0.6432744190675225,350,natural_qa:mode=openbook
together_gpt-neox-20b,0.96,0.8238064950922094,,0.8238064950922094,350,natural_qa:mode=openbook
together_opt-175b,0.96,0.8687217068645641,,0.8687217068645641,350,natural_qa:mode=openbook
together_opt-66b,0.96,0.8366720707732243,,0.8366720707732243,350,natural_qa:mode=openbook
together_t0pp,0.96,0.1863813725827585,,0.1863813725827585,350,natural_qa:mode=openbook
together_t5-11b,0.96,0.46654408064904956,,0.46654408064904956,350,natural_qa:mode=openbook
together_ul2,0.96,0.29497972176555953,,0.29497972176555953,350,natural_qa:mode=openbook
together_yalm,0.96,0.12215721263693523,,0.12215721263693523,350,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.96,0.7502966466195758,,0.7502966466195758,350,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.96,0.8401466412389705,,0.8401466412389705,350,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.96,0.8997210884353741,,0.8997210884353741,350,natural_qa:mode=openbook
ai21_j1-grande,0.96,0.775632183908046,,0.775632183908046,350,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.96,0.9001016919588348,,0.9001016919588348,350,natural_qa:mode=openbook
ai21_j1-jumbo,0.96,0.8381791383219955,,0.8381791383219955,350,natural_qa:mode=openbook
ai21_j1-large,0.96,0.6570007135721422,,0.6570007135721422,350,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.96,0.9156145600431316,,0.9156145600431316,350,natural_qa:mode=openbook
cohere_command-medium-beta,0.96,0.9563010147746989,,0.9563010147746989,350,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.96,0.9657650444793303,,0.9657650444793303,350,natural_qa:mode=openbook
cohere_large-20220720,0.96,0.7395060934674503,,0.7395060934674503,350,natural_qa:mode=openbook
cohere_medium-20220720,0.96,0.5149360262418328,,0.5149360262418328,350,natural_qa:mode=openbook
cohere_medium-20221108,0.96,0.6077871567922719,,0.6077871567922719,350,natural_qa:mode=openbook
cohere_small-20220720,0.96,0.12640078939543994,,0.12640078939543994,350,natural_qa:mode=openbook
cohere_xlarge-20220609,0.96,0.8139103802201324,,0.8139103802201324,350,natural_qa:mode=openbook
cohere_xlarge-20221108,0.96,0.87962740434169,,0.87962740434169,350,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.96,0.8943729128014843,,0.8943729128014843,350,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.96,0.7092376133183587,,0.7092376133183587,350,natural_qa:mode=openbook
openai_ada,0.96,0.18942385035531284,,0.18942385035531284,350,natural_qa:mode=openbook
openai_babbage,0.96,0.34882287945402857,,0.34882287945402857,350,natural_qa:mode=openbook
openai_curie,0.96,0.6623009028346875,,0.6623009028346875,350,natural_qa:mode=openbook
openai_davinci,0.96,0.8738796743577814,,0.8738796743577814,350,natural_qa:mode=openbook
openai_text-ada-001,0.96,0.015430820432700132,,0.015430820432700132,350,natural_qa:mode=openbook
openai_text-babbage-001,0.96,0.18195617502797953,,0.18195617502797953,350,natural_qa:mode=openbook
openai_text-curie-001,0.96,0.7248466181221599,,0.7248466181221599,350,natural_qa:mode=openbook
openai_text-davinci-002,0.96,0.9286964939822082,,0.9286964939822082,350,natural_qa:mode=openbook
openai_text-davinci-003,0.96,0.9585538105786553,,0.9585538105786553,350,natural_qa:mode=openbook
together_bloom,0.96,0.867533276247562,,0.867533276247562,350,natural_qa:mode=openbook
together_glm,0.96,0.8571391122105407,,0.8571391122105407,350,natural_qa:mode=openbook
together_gpt-j-6b,0.96,0.6432744190675225,,0.6432744190675225,350,natural_qa:mode=openbook
together_gpt-neox-20b,0.96,0.8238064950922094,,0.8238064950922094,350,natural_qa:mode=openbook
together_opt-175b,0.96,0.8687217068645641,,0.8687217068645641,350,natural_qa:mode=openbook
together_opt-66b,0.96,0.8366720707732243,,0.8366720707732243,350,natural_qa:mode=openbook
together_t0pp,0.96,0.1863813725827585,,0.1863813725827585,350,natural_qa:mode=openbook
together_t5-11b,0.96,0.46654408064904956,,0.46654408064904956,350,natural_qa:mode=openbook
together_ul2,0.96,0.29497972176555953,,0.29497972176555953,350,natural_qa:mode=openbook
together_yalm,0.96,0.12215721263693523,,0.12215721263693523,350,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.96,0.7502966466195758,,0.7502966466195758,350,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.96,0.8401466412389705,,0.8401466412389705,350,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.96,0.8997210884353741,,0.8997210884353741,350,natural_qa:mode=openbook
ai21_j1-grande,0.96,0.775632183908046,,0.775632183908046,350,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.96,0.9001016919588348,,0.9001016919588348,350,natural_qa:mode=openbook
ai21_j1-jumbo,0.96,0.8381791383219955,,0.8381791383219955,350,natural_qa:mode=openbook
ai21_j1-large,0.96,0.6570007135721422,,0.6570007135721422,350,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.96,0.9156145600431316,,0.9156145600431316,350,natural_qa:mode=openbook
cohere_command-medium-beta,0.96,0.9563010147746989,,0.9563010147746989,350,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.96,0.9657650444793303,,0.9657650444793303,350,natural_qa:mode=openbook
cohere_large-20220720,0.96,0.7395060934674503,,0.7395060934674503,350,natural_qa:mode=openbook
cohere_medium-20220720,0.96,0.5149360262418328,,0.5149360262418328,350,natural_qa:mode=openbook
cohere_medium-20221108,0.96,0.6077871567922719,,0.6077871567922719,350,natural_qa:mode=openbook
cohere_small-20220720,0.96,0.12640078939543994,,0.12640078939543994,350,natural_qa:mode=openbook
cohere_xlarge-20220609,0.96,0.8139103802201324,,0.8139103802201324,350,natural_qa:mode=openbook
cohere_xlarge-20221108,0.96,0.87962740434169,,0.87962740434169,350,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.96,0.8943729128014843,,0.8943729128014843,350,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.96,0.7092376133183587,,0.7092376133183587,350,natural_qa:mode=openbook
openai_ada,0.96,0.18942385035531284,,0.18942385035531284,350,natural_qa:mode=openbook
openai_babbage,0.96,0.34882287945402857,,0.34882287945402857,350,natural_qa:mode=openbook
openai_curie,0.96,0.6623009028346875,,0.6623009028346875,350,natural_qa:mode=openbook
openai_davinci,0.96,0.8738796743577814,,0.8738796743577814,350,natural_qa:mode=openbook
openai_text-ada-001,0.96,0.015430820432700132,,0.015430820432700132,350,natural_qa:mode=openbook
openai_text-babbage-001,0.96,0.18195617502797953,,0.18195617502797953,350,natural_qa:mode=openbook
openai_text-curie-001,0.96,0.7248466181221599,,0.7248466181221599,350,natural_qa:mode=openbook
openai_text-davinci-002,0.96,0.9286964939822082,,0.9286964939822082,350,natural_qa:mode=openbook
openai_text-davinci-003,0.96,0.9585538105786553,,0.9585538105786553,350,natural_qa:mode=openbook
together_bloom,0.96,0.867533276247562,,0.867533276247562,350,natural_qa:mode=openbook
together_glm,0.96,0.8571391122105407,,0.8571391122105407,350,natural_qa:mode=openbook
together_gpt-j-6b,0.96,0.6432744190675225,,0.6432744190675225,350,natural_qa:mode=openbook
together_gpt-neox-20b,0.96,0.8238064950922094,,0.8238064950922094,350,natural_qa:mode=openbook
together_opt-175b,0.96,0.8687217068645641,,0.8687217068645641,350,natural_qa:mode=openbook
together_opt-66b,0.96,0.8366720707732243,,0.8366720707732243,350,natural_qa:mode=openbook
together_t0pp,0.96,0.1863813725827585,,0.1863813725827585,350,natural_qa:mode=openbook
together_t5-11b,0.96,0.46654408064904956,,0.46654408064904956,350,natural_qa:mode=openbook
together_ul2,0.96,0.29497972176555953,,0.29497972176555953,350,natural_qa:mode=openbook
together_yalm,0.96,0.12215721263693523,,0.12215721263693523,350,natural_qa:mode=openbook
AlephAlpha_luminous-base,0.96,0.7502966466195758,,0.7502966466195758,350,natural_qa:mode=openbook
AlephAlpha_luminous-extended,0.96,0.8401466412389705,,0.8401466412389705,350,natural_qa:mode=openbook
AlephAlpha_luminous-supreme,0.96,0.8997210884353741,,0.8997210884353741,350,natural_qa:mode=openbook
ai21_j1-grande,0.96,0.775632183908046,,0.775632183908046,350,natural_qa:mode=openbook
ai21_j1-grande-v2-beta,0.96,0.9001016919588348,,0.9001016919588348,350,natural_qa:mode=openbook
ai21_j1-jumbo,0.96,0.8381791383219955,,0.8381791383219955,350,natural_qa:mode=openbook
ai21_j1-large,0.96,0.6570007135721422,,0.6570007135721422,350,natural_qa:mode=openbook
anthropic_stanford-online-all-v4-s3,0.96,0.9156145600431316,,0.9156145600431316,350,natural_qa:mode=openbook
cohere_command-medium-beta,0.96,0.9563010147746989,,0.9563010147746989,350,natural_qa:mode=openbook
cohere_command-xlarge-beta,0.96,0.9657650444793303,,0.9657650444793303,350,natural_qa:mode=openbook
cohere_large-20220720,0.96,0.7395060934674503,,0.7395060934674503,350,natural_qa:mode=openbook
cohere_medium-20220720,0.96,0.5149360262418328,,0.5149360262418328,350,natural_qa:mode=openbook
cohere_medium-20221108,0.96,0.6077871567922719,,0.6077871567922719,350,natural_qa:mode=openbook
cohere_small-20220720,0.96,0.12640078939543994,,0.12640078939543994,350,natural_qa:mode=openbook
cohere_xlarge-20220609,0.96,0.8139103802201324,,0.8139103802201324,350,natural_qa:mode=openbook
cohere_xlarge-20221108,0.96,0.87962740434169,,0.87962740434169,350,natural_qa:mode=openbook
microsoft_TNLGv2_530B,0.96,0.8943729128014843,,0.8943729128014843,350,natural_qa:mode=openbook
microsoft_TNLGv2_7B,0.96,0.7092376133183587,,0.7092376133183587,350,natural_qa:mode=openbook
openai_ada,0.96,0.18942385035531284,,0.18942385035531284,350,natural_qa:mode=openbook
openai_babbage,0.96,0.34882287945402857,,0.34882287945402857,350,natural_qa:mode=openbook
openai_curie,0.96,0.6623009028346875,,0.6623009028346875,350,natural_qa:mode=openbook
openai_davinci,0.96,0.8738796743577814,,0.8738796743577814,350,natural_qa:mode=openbook
openai_text-ada-001,0.96,0.015430820432700132,,0.015430820432700132,350,natural_qa:mode=openbook
openai_text-babbage-001,0.96,0.18195617502797953,,0.18195617502797953,350,natural_qa:mode=openbook
openai_text-curie-001,0.96,0.7248466181221599,,0.7248466181221599,350,natural_qa:mode=openbook
openai_text-davinci-002,0.96,0.9286964939822082,,0.9286964939822082,350,natural_qa:mode=openbook
openai_text-davinci-003,0.96,0.9585538105786553,,0.9585538105786553,350,natural_qa:mode=openbook
together_bloom,0.96,0.867533276247562,,0.867533276247562,350,natural_qa:mode=openbook
together_glm,0.96,0.8571391122105407,,0.8571391122105407,350,natural_qa:mode=openbook
together_gpt-j-6b,0.96,0.6432744190675225,,0.6432744190675225,350,natural_qa:mode=openbook
together_gpt-neox-20b,0.96,0.8238064950922094,,0.8238064950922094,350,natural_qa:mode=openbook
together_opt-175b,0.96,0.8687217068645641,,0.8687217068645641,350,natural_qa:mode=openbook
together_opt-66b,0.96,0.8366720707732243,,0.8366720707732243,350,natural_qa:mode=openbook
together_t0pp,0.96,0.1863813725827585,,0.1863813725827585,350,natural_qa:mode=openbook
together_t5-11b,0.96,0.46654408064904956,,0.46654408064904956,350,natural_qa:mode=openbook
